Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %
2011-2012,1,1,90,3,3.00,6,3,.500,0,0.0
,,,,,,,,,,
2013-2014,11,11,990,14,1.27,48,34,.708,2,18.2
2014-2015,4,3,302,4,1.19,8,4,.500,2,66.7
2014-2015,8,8,720,10,1.25,33,23,.697,2,25.0
2015-2016,13,13,"1,136",17,1.35,59,42,.712,4,30.8
2016-2017,3,3,270,,,,0,,1,33.3
2016-2017,2,2,180,3,1.50,8,5,.750,1,50.0
2017-2018,5,5,450,7,1.40,19,13,.684,2,40.0
2018-2019,18,18,"1,620",23,1.28,97,75,.773,5,27.8
2018-2019,1,1,90,,,,,,0,0.0
2019-2020,9,8,771,9,1.05,42,33,.810,3,37.5
2020-2021,7,7,630,9,1.29,30,20,.700,4,57.1
