player,sca,sca90,s_passlive,s_passdead,s_drib,s_sh,s_fld,s_def,gca,gca90,g_passlive,g_passdead,g_drib,g_sh,g_fld,g_def
Héctor Bellerín,15,1.50,13,1,0,0,1,0,4,0.40,3,0,0,0,1,0
Bernd Leno,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pierre-Emerick Aubameyang,21,2.11,16,0,1,1,3,0,2,0.20,2,0,0,0,0,0
Gabriel Dos Santos,4,0.44,2,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Kieran Tierney,13,1.46,9,1,1,1,1,0,0,0.00,0,0,0,0,0,0
Willian,18,2.61,10,5,0,1,2,0,5,0.72,3,1,0,1,0,0
Bukayo Saka,18,2.57,12,1,3,0,2,0,2,0.29,2,0,0,0,0,0
Granit Xhaka,7,1.09,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Dani Ceballos,18,2.62,16,1,0,0,0,1,1,0.15,1,0,0,0,0,0
Rob Holding,1,0.15,1,0,0,0,0,0,1,0.15,1,0,0,0,0,0
Alexandre Lacazette,9,1.64,6,0,1,0,2,0,0,0.00,0,0,0,0,0,0
Mohamed Elneny,8,1.60,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0
David Luiz,3,0.74,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Thomas Partey,3,1.16,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicolas Pépé,3,0.96,1,2,0,0,0,0,1,0.32,1,0,0,0,0,0
Ainsley Maitland-Niles,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joe Willock,3,1.85,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Eddie Nketiah,2,1.18,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Sead Kolašinac,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Reiss Nelson,1,1.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Shkodran Mustafi,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
