team,name,age,mplay,xG,xA,npxG,npxG + xA
arsenal,Héctor Bellerín,25,900,0.1,1.2,0.1,0.13
arsenal,Bernd Leno,28,900,0.0,0.0,0.0,0.00
arsenal,Pierre-Emerick Aubameyang,31,896,2.4,1.3,1.6,0.30
arsenal,Gabriel Dos Santos,22,810,0.6,0.0,0.6,0.06
arsenal,Kieran Tierney,23,800,0.1,0.6,0.1,0.08
arsenal,Willian,32,621,0.9,0.8,0.9,0.25
arsenal,Bukayo Saka,19,631,1.6,0.6,1.6,0.32
arsenal,Granit Xhaka,28,579,0.3,0.1,0.3,0.07
arsenal,Dani Ceballos,24,618,0.1,1.6,0.1,0.24
arsenal,Rob Holding,25,585,0.5,0.0,0.5,0.08
arsenal,Alexandre Lacazette,29,495,2.2,0.4,2.2,0.48
arsenal,Mohamed Elneny,28,450,0.3,0.1,0.3,0.08
arsenal,David Luiz,33,365,0.1,0.0,0.1,0.04
arsenal,Thomas Partey,27,233,0.5,0.1,0.5,0.20
arsenal,Nicolas Pépé,25,282,0.7,0.3,0.7,0.30
arsenal,Ainsley Maitland-Niles,23,190,0.0,0.0,0.0,0.01
arsenal,Joe Willock,21,146,0.0,0.0,0.0,0.02
arsenal,Eddie Nketiah,21,152,1.0,0.2,1.0,0.71
arsenal,Sead Kolašinac,27,90,0.0,0.0,0.0,0.00
arsenal,Reiss Nelson,20,71,0.0,0.0,0.0,0.06
arsenal,Shkodran Mustafi,28,46,0.0,0.0,0.0,0.00
arsenal,Rúnar Alex Rúnarsson,25,,,,,
arsenal,Matt Macey,26,,,,,
arsenal,Cédric Soares,29,,,,,
