Player,Position,Minute90,Attempt,Completed,Sucpct,Totaldist,Progdist,LongPass,LongComp,LongPct,MediPass,MediComp,MediPct,ShortPass,ShortComp,ShortPct,Keypass,Finalthird,Penalty,CrossPena,Progcount
Héctor Bellerín,DF,10.0,524,442,84.4,7826,2059,51,38,74.5,237,206,86.9,220,190,86.4,8,20,13,5,35
Bernd Leno,GK,10.0,357,303,84.9,6945,3093,114,61,53.5,153,152,99.3,86,86,100.0,0,3,0,0,2
Pierre-Emerick Aubameyang,FW,10.0,269,198,73.6,2996,601,24,10,41.7,97,74,76.3,131,110,84.0,12,5,11,5,23
Gabriel Dos Santos,DF,9.0,690,611,88.6,12910,3415,144,106,73.6,365,340,93.2,171,159,93.0,0,36,1,0,14
Kieran Tierney,DF,8.9,584,460,78.8,8526,2420,113,52,46.0,263,235,89.4,189,169,89.4,6,20,6,3,39
Willian,FW,6.9,303,238,78.5,4215,851,48,27,56.3,114,92,80.7,133,118,88.7,8,15,10,3,20
Bukayo Saka,"DF,FW",7.0,285,210,73.7,3381,756,34,13,38.2,106,84,79.2,133,110,82.7,6,19,5,2,20
Granit Xhaka,"MF,DF",6.4,430,381,88.6,7979,1746,90,70,77.8,189,180,95.2,143,128,89.5,1,52,9,0,38
Dani Ceballos,MF,6.9,471,404,85.8,8123,1901,95,73,76.8,204,186,91.2,162,143,88.3,9,52,9,2,39
Rob Holding,DF,6.5,395,345,87.3,7678,1933,84,63,75.0,213,193,90.6,94,88,93.6,0,16,1,0,15
Alexandre Lacazette,FW,5.5,112,89,79.5,1334,152,9,5,55.6,34,30,88.2,62,51,82.3,5,1,1,0,4
Mohamed Elneny,MF,5.0,306,285,93.1,5757,1115,52,42,80.8,138,134,97.1,114,109,95.6,2,27,4,0,15
David Luiz,DF,4.1,289,240,83.0,6160,1464,101,68,67.3,147,140,95.2,36,32,88.9,1,20,3,0,12
Thomas Partey,MF,2.6,154,137,89.0,2821,634,28,22,78.6,73,68,93.2,49,46,93.9,1,17,1,0,19
Nicolas Pépé,"FW,MF",3.1,91,58,63.7,881,204,19,5,26.3,22,18,81.8,42,33,78.6,2,3,1,0,5
Ainsley Maitland-Niles,DF,2.1,74,55,74.3,1111,195,17,8,47.1,29,26,89.7,26,21,80.8,0,4,0,0,3
Joe Willock,MF,1.6,57,44,77.2,707,210,4,2,50.0,21,18,85.7,27,21,77.8,0,7,4,1,5
Eddie Nketiah,FW,1.7,33,27,81.8,344,41,1,1,100.0,6,5,83.3,25,21,84.0,1,0,0,0,0
Sead Kolašinac,DF,1.0,64,54,84.4,801,177,3,1,33.3,24,22,91.7,35,30,85.7,0,3,1,0,4
Reiss Nelson,FW,0.8,30,17,56.7,319,94,9,2,22.2,9,6,66.7,9,9,100.0,0,2,1,0,2
Shkodran Mustafi,DF,0.5,48,41,85.4,1100,210,12,8,66.7,34,31,91.2,2,2,100.0,0,2,0,0,4
