player,press,switch,intercepted,blocked
Héctor Bellerín,81,8,6,13
Bernd Leno,46,5,1,0
Pierre-Emerick Aubameyang,61,2,6,10
Gabriel Dos Santos,60,11,9,4
Kieran Tierney,63,9,0,21
Willian,35,18,5,8
Bukayo Saka,57,5,2,12
Granit Xhaka,62,11,5,6
Dani Ceballos,50,12,4,11
Rob Holding,39,16,1,3
Alexandre Lacazette,26,2,1,4
Mohamed Elneny,45,10,0,3
David Luiz,41,13,5,5
Thomas Partey,23,3,0,3
Nicolas Pépé,23,3,2,6
Ainsley Maitland-Niles,8,4,1,3
Joe Willock,15,3,2,4
Eddie Nketiah,12,0,0,3
Sead Kolašinac,1,0,0,3
Reiss Nelson,5,1,0,3
Shkodran Mustafi,2,3,1,0
