Player,Gls,xG,TotalS,TotalS/90,SonTar,SonT/90
Héctor Bellerín,0,0.1,2,0.20,1,0.10
Bernd Leno,0,0.0,0,0.00,0,0.00
Pierre-Emerick Aubameyang,2,2.4,17,1.71,7,0.70
Gabriel Dos Santos,2,0.6,7,0.78,2,0.22
Kieran Tierney,0,0.1,4,0.45,0,0.00
Willian,0,0.9,6,0.87,1,0.14
Bukayo Saka,1,1.6,14,2.00,6,0.86
Granit Xhaka,0,0.3,6,0.93,0,0.00
Dani Ceballos,0,0.1,3,0.44,0,0.00
Rob Holding,0,0.5,2,0.31,0,0.00
Alexandre Lacazette,3,2.2,9,1.64,6,1.09
Mohamed Elneny,0,0.3,3,0.60,0,0.00
David Luiz,0,0.1,3,0.74,0,0.00
Thomas Partey,0,0.5,3,1.16,2,0.77
Nicolas Pépé,1,0.7,8,2.55,3,0.96
Ainsley Maitland-Niles,0,0.0,1,0.47,0,0.00
Joe Willock,0,0.0,1,0.62,0,0.00
Eddie Nketiah,1,1.0,3,1.78,2,1.18
Sead Kolašinac,0,0.0,0,0.00,0,0.00
Reiss Nelson,0,0.0,1,1.27,0,0.00
Shkodran Mustafi,0,0.0,0,0.00,0,0.00
