player,sca,sca90,s_passlive,s_passdead,s_drib,s_sh,s_fld,s_def,gca,gca90,g_passlive,g_passdead,g_drib,g_sh,g_fld,g_def
Jan Oblak,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kieran Trippier,23,2.56,16,6,0,0,0,1,2,0.22,2,0,0,0,0,0
Stefan Savić,4,0.50,4,0,0,0,0,0,1,0.12,1,0,0,0,0,0
Koke,18,2.38,16,1,0,1,0,0,2,0.26,2,0,0,0,0,0
Mario Hermoso,5,0.73,5,0,0,0,0,0,2,0.29,2,0,0,0,0,0
Ángel Correa,21,3.20,17,1,0,1,2,0,6,0.92,5,0,0,0,1,0
Saúl Ñíguez,8,1.46,4,0,2,1,1,0,0,0.00,0,0,0,0,0,0
João Félix,27,3.97,18,0,3,4,2,0,5,0.74,3,0,1,1,0,0
Marcos Llorente,12,2.07,8,0,0,2,1,1,3,0.52,2,0,0,0,0,1
Luis Suárez,12,2.88,9,0,1,2,0,0,3,0.72,2,0,0,1,0,0
Felipe,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
José María Giménez,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Renan Lodi,2,0.55,1,1,0,0,0,0,1,0.27,1,0,0,0,0,0
Thomas Lemar,6,2.47,4,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Héctor Herrera,6,2.40,3,2,0,1,0,0,1,0.40,0,1,0,0,0,0
Vitolo,6,2.97,5,0,0,0,1,0,2,0.99,1,0,0,0,1,0
Yannick Carrasco,16,4.74,11,2,2,0,1,0,2,0.59,0,1,1,0,0,0
Thomas Partey,5,2.25,3,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Diego Costa,8,3.87,7,0,0,1,0,0,2,0.97,2,0,0,0,0,0
Lucas Torreira,5,2.65,3,1,0,0,1,0,1,0.53,1,0,0,0,0,0
Manuel Sánchez,1,1.84,1,0,0,0,0,0,1,1.84,1,0,0,0,0,0
Geoffrey Kondogbia,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
