team,name,age,mplay,xG,xA,npxG,npxG + xA
atletico-madrid,Héctor Bellerín,25,900,0.1,1.2,0.1,0.13
atletico-madrid,Bernd Leno,28,900,0.0,0.0,0.0,0.00
atletico-madrid,Pierre-Emerick Aubameyang,31,810,2.4,1.3,1.6,0.30
atletico-madrid,Gabriel Dos Santos,22,716,0.6,0.0,0.6,0.06
atletico-madrid,Kieran Tierney,23,706,0.1,0.6,0.1,0.08
atletico-madrid,Willian,32,646,0.9,0.8,0.9,0.25
atletico-madrid,Bukayo Saka,19,549,1.6,0.6,1.6,0.32
atletico-madrid,Granit Xhaka,28,646,0.3,0.1,0.3,0.07
atletico-madrid,Dani Ceballos,24,568,0.1,1.6,0.1,0.24
atletico-madrid,Rob Holding,25,437,0.5,0.0,0.5,0.08
atletico-madrid,Alexandre Lacazette,29,493,2.2,0.4,2.2,0.48
atletico-madrid,Mohamed Elneny,28,360,0.3,0.1,0.3,0.08
atletico-madrid,David Luiz,33,329,0.1,0.0,0.1,0.04
atletico-madrid,Thomas Partey,27,295,0.5,0.1,0.5,0.20
atletico-madrid,Nicolas Pépé,25,315,0.7,0.3,0.7,0.30
atletico-madrid,Ainsley Maitland-Niles,23,227,0.0,0.0,0.0,0.01
atletico-madrid,Joe Willock,21,304,0.0,0.0,0.0,0.02
atletico-madrid,Eddie Nketiah,21,200,1.0,0.2,1.0,0.71
atletico-madrid,Sead Kolašinac,27,186,0.0,0.0,0.0,0.00
atletico-madrid,Reiss Nelson,20,184,0.0,0.0,0.0,0.06
atletico-madrid,Shkodran Mustafi,28,49,0.0,0.0,0.0,0.00
atletico-madrid,Rúnar Alex Rúnarsson,25,80,,,,
atletico-madrid,Matt Macey,26,,,,,
atletico-madrid,Cédric Soares,29,,,,,
