Player,Position,Minute90,Attempt,Completed,Sucpct,Totaldist,Progdist,LongPass,LongComp,LongPct,MediPass,MediComp,MediPct,ShortPass,ShortComp,ShortPct,Keypass,Finalthird,Penalty,CrossPena,Progcount
Jan Oblak,GK,10.0,255,163,63.9,5359,3555,160,72,45.0,75,71,94.7,19,19,100.0,0,4,0,0,0
Kieran Trippier,DF,10.0,592,485,81.9,8833,3409,103,55,53.4,231,194,84.0,243,228,93.8,10,27,24,4,62
Stefan Savić,DF,9.0,454,387,85.2,8385,2714,114,79,69.3,206,186,90.3,126,117,92.9,1,49,2,0,19
Koke,MF,8.0,580,512,88.3,8411,2515,70,41,58.6,210,193,91.9,270,258,95.6,11,53,11,0,66
Mario Hermoso,DF,7.8,521,443,85.0,8360,3392,84,49,58.3,223,205,91.9,201,186,92.5,1,46,2,0,39
Ángel Correa,"MF,FW",7.2,254,199,78.3,2654,561,24,9,37.5,69,55,79.7,136,118,86.8,12,8,9,0,18
Saúl Ñíguez,"MF,DF",6.1,328,288,87.8,4551,1010,23,17,73.9,123,112,91.1,167,151,90.4,3,26,3,0,15
João Félix,FW,7.2,304,256,84.2,3651,1210,22,16,72.7,76,61,80.3,178,160,89.9,12,28,10,0,33
Marcos Llorente,"MF,FW",6.3,214,170,79.4,2629,560,20,12,60.0,62,50,80.6,114,101,88.6,7,3,12,4,14
Luis Suárez,FW,4.9,104,78,75.0,1119,184,6,3,50.0,33,23,69.7,56,49,87.5,4,3,5,0,8
Felipe,DF,5.5,241,207,85.9,4278,1545,48,36,75.0,109,95,87.2,83,75,90.4,0,12,0,0,10
José María Giménez,DF,4.0,203,181,89.2,4146,1132,50,38,76.0,106,101,95.3,43,40,93.0,0,9,0,0,7
Renan Lodi,DF,3.7,247,196,79.4,3529,959,40,23,57.5,92,76,82.6,100,91,91.0,2,5,2,1,11
Thomas Lemar,"MF,FW",3.3,148,120,81.1,1970,563,25,15,60.0,42,34,81.0,71,66,93.0,5,11,6,1,8
Héctor Herrera,MF,3.5,219,194,88.6,3209,931,24,16,66.7,83,77,92.8,101,93,92.1,2,26,0,0,19
Vitolo,"MF,FW",2.5,93,79,84.9,1058,256,6,3,50.0,24,21,87.5,54,47,87.0,2,4,0,0,7
Yannick Carrasco,"MF,DF",3.4,173,143,82.7,2119,508,21,8,38.1,51,45,88.2,97,88,90.7,10,5,5,0,13
Thomas Partey,MF,2.2,220,196,89.1,4215,1118,41,34,82.9,103,93,90.3,72,66,91.7,0,26,4,0,34
Diego Costa,FW,2.1,70,54,77.1,741,77,3,3,100.0,15,11,73.3,47,38,80.9,4,1,4,0,4
Lucas Torreira,MF,2.0,128,119,93.0,1963,502,11,9,81.8,53,50,94.3,60,56,93.3,1,2,0,0,5
Manuel Sánchez,DF,0.5,31,24,77.4,406,108,2,1,50.0,14,11,78.6,14,12,85.7,1,0,0,0,0
Geoffrey Kondogbia,MF,0.9,59,49,83.1,988,147,13,9,69.2,20,18,90.0,25,22,88.0,0,0,0,0,1
