player,press,switch,intercepted,blocked
Jan Oblak,15,5,2,0
Kieran Trippier,62,14,11,6
Stefan Savić,52,12,6,5
Koke,83,9,8,11
Mario Hermoso,42,12,8,9
Ángel Correa,49,2,3,9
Saúl Ñíguez,49,5,2,5
João Félix,77,5,5,8
Marcos Llorente,53,7,3,13
Luis Suárez,28,2,2,4
Felipe,28,3,1,1
José María Giménez,13,10,1,3
Renan Lodi,30,6,0,11
Thomas Lemar,27,7,3,5
Héctor Herrera,28,8,0,3
Vitolo,16,3,0,1
Yannick Carrasco,31,5,6,4
Thomas Partey,28,9,6,1
Diego Costa,22,1,0,4
Lucas Torreira,17,0,1,1
Manuel Sánchez,8,0,0,3
Geoffrey Kondogbia,8,4,1,1
