Player,Gls,xG,TotalS,TotalS/90,SonTar,SonT/90
Jan Oblak,0,0.0,0,0.00,0,0.00
Kieran Trippier,0,0.0,1,0.10,1,0.10
Stefan Savić,0,0.1,3,0.33,0,0.00
Koke,0,0.5,3,0.38,1,0.13
Mario Hermoso,0,0.1,4,0.51,1,0.13
Ángel Correa,1,1.3,14,1.95,6,0.84
Saúl Ñíguez,0,1.2,9,1.48,2,0.33
João Félix,5,3.3,19,2.65,5,0.70
Marcos Llorente,4,1.1,13,2.06,7,1.11
Luis Suárez,5,3.2,27,5.56,9,1.85
Felipe,0,0.3,5,0.91,0,0.00
José María Giménez,0,0.3,4,1.00,1,0.25
Renan Lodi,0,0.1,4,1.09,1,0.27
Thomas Lemar,1,0.3,7,2.14,3,0.92
Héctor Herrera,0,0.0,1,0.29,0,0.00
Vitolo,0,0.4,1,0.40,0,0.00
Yannick Carrasco,2,1.3,8,2.37,5,1.48
Thomas Partey,0,0.1,5,2.25,0,0.00
Diego Costa,1,0.6,4,1.94,2,0.97
Lucas Torreira,1,0.2,2,0.98,1,0.49
Manuel Sánchez,0,0.0,0,0.00,0,0.00
Geoffrey Kondogbia,0,0.0,0,0.00,0,0.00
