player,sca,sca90,s_passlive,s_passdead,s_drib,s_sh,s_fld,s_def,gca,gca90,g_passlive,g_passdead,g_drib,g_sh,g_fld,g_def
Frenkie de Jong,17,1.91,16,0,0,0,1,0,2,0.23,2,0,0,0,0,0
Lionel Messi,59,6.94,34,4,14,1,6,0,6,0.71,3,0,2,1,0,0
Jordi Alba,16,2.12,16,0,0,0,0,0,3,0.40,3,0,0,0,0,0
Antoine Griezmann,14,2.07,13,0,1,0,0,0,2,0.30,2,0,0,0,0,0
Clément Lenglet,6,0.90,5,0,0,0,0,1,2,0.30,2,0,0,0,0,0
Gerard Piqué,2,0.26,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sergio Busquets,14,2.09,11,1,0,0,2,0,0,0.00,0,0,0,0,0,0
Sergi Roberto,13,1.87,12,0,0,0,0,1,2,0.29,2,0,0,0,0,0
Neto,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Philippe Coutinho,10,2.11,6,0,1,1,2,0,3,0.63,3,0,0,0,0,0
Ansu Fati,19,3.97,12,1,1,0,5,0,2,0.42,0,0,1,0,1,0
Pedri,11,2.21,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Sergiño Dest,8,2.35,6,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Ousmane Dembélé,8,2.24,5,0,1,1,1,0,1,0.28,0,0,0,1,0,0
Marc-André ter Stegen,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Martin Braithwaite,1,0.83,0,0,0,1,0,0,1,0.83,0,0,0,1,0,0
Óscar Mingueza,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Miralem Pjanić,11,6.15,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Ronald Araújo,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Francisco Trincão,7,3.30,5,0,0,0,2,0,2,0.94,2,0,0,0,0,0
Junior Firpo,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carles Aleñá,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Riqui Puig,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
