team,name,age,mplay,xG,xA,npxG,npxG + xA
barcelona,Héctor Bellerín,25,889,0.1,1.2,0.1,0.13
barcelona,Bernd Leno,28,855,0.0,0.0,0.0,0.00
barcelona,Pierre-Emerick Aubameyang,31,768,2.4,1.3,1.6,0.30
barcelona,Gabriel Dos Santos,22,699,0.6,0.0,0.6,0.06
barcelona,Kieran Tierney,23,692,0.1,0.6,0.1,0.08
barcelona,Willian,32,691,0.9,0.8,0.9,0.25
barcelona,Bukayo Saka,19,680,1.6,0.6,1.6,0.32
barcelona,Granit Xhaka,28,626,0.3,0.1,0.3,0.07
barcelona,Dani Ceballos,24,540,0.1,1.6,0.1,0.24
barcelona,Rob Holding,25,472,0.5,0.0,0.5,0.08
barcelona,Alexandre Lacazette,29,431,2.2,0.4,2.2,0.48
barcelona,Mohamed Elneny,28,492,0.3,0.1,0.3,0.08
barcelona,David Luiz,33,383,0.1,0.0,0.1,0.04
barcelona,Thomas Partey,27,366,0.5,0.1,0.5,0.20
barcelona,Nicolas Pépé,25,360,0.7,0.3,0.7,0.30
barcelona,Ainsley Maitland-Niles,23,199,0.0,0.0,0.0,0.01
barcelona,Joe Willock,21,135,0.0,0.0,0.0,0.02
barcelona,Eddie Nketiah,21,174,1.0,0.2,1.0,0.71
barcelona,Sead Kolašinac,27,136,0.0,0.0,0.0,0.00
barcelona,Reiss Nelson,20,205,0.0,0.0,0.0,0.06
barcelona,Shkodran Mustafi,28,30,0.0,0.0,0.0,0.00
barcelona,Rúnar Alex Rúnarsson,25,24,,,,
barcelona,Matt Macey,26,4,,,,
barcelona,Cédric Soares,29,,,,,
