player,press,switch,intercepted,blocked
Frenkie de Jong,86,17,10,8
Lionel Messi,100,13,11,20
Jordi Alba,41,14,7,21
Antoine Griezmann,31,3,0,5
Clément Lenglet,41,7,10,2
Gerard Piqué,42,15,1,2
Sergio Busquets,67,11,5,4
Sergi Roberto,45,1,3,14
Neto,22,1,0,1
Philippe Coutinho,39,3,5,4
Ansu Fati,35,0,5,7
Pedri,47,5,7,5
Sergiño Dest,14,1,3,9
Ousmane Dembélé,24,5,5,7
Marc-André ter Stegen,11,2,0,0
Martin Braithwaite,5,0,0,2
Óscar Mingueza,3,0,1,1
Miralem Pjanić,29,1,4,6
Ronald Araújo,12,3,0,1
Francisco Trincão,12,2,3,10
Junior Firpo,1,0,0,0
Carles Aleñá,0,1,1,0
Riqui Puig,0,1,1,0
