Player,Gls,xG,TotalS,TotalS/90,SonTar,SonT/90
Frenkie de Jong,0,1.0,4,0.40,0,0.00
Lionel Messi,4,5.3,47,4.95,22,2.32
Jordi Alba,0,0.1,3,0.35,2,0.23
Antoine Griezmann,3,4.2,18,2.32,7,0.90
Clément Lenglet,0,0.3,2,0.26,2,0.26
Gerard Piqué,0,0.4,3,0.39,0,0.00
Sergio Busquets,0,0.0,0,0.00,0,0.00
Sergi Roberto,1,0.4,4,0.58,1,0.14
Neto,0,0.0,0,0.00,0,0.00
Philippe Coutinho,2,2.9,18,3.43,7,1.33
Ansu Fati,4,1.8,14,2.92,7,1.46
Pedri,1,0.6,6,1.10,1,0.18
Sergiño Dest,0,0.1,3,0.70,1,0.23
Ousmane Dembélé,1,0.2,4,0.98,1,0.25
Marc-André ter Stegen,0,0.0,0,0.00,0,0.00
Martin Braithwaite,1,0.6,4,1.81,3,1.36
Óscar Mingueza,0,0.0,0,0.00,0,0.00
Miralem Pjanić,0,0.1,6,3.10,2,1.03
Ronald Araújo,0,0.0,0,0.00,0,0.00
Francisco Trincão,0,1.0,9,3.95,3,1.32
Junior Firpo,0,0.0,0,0.00,0,0.00
Carles Aleñá,0,0.0,0,0.00,0,0.00
Riqui Puig,0,0.0,0,0.00,0,0.00
