player,opponent,start,position,minute,touch,pressure,xg,xa,sca,gca,sot,pass_pct,carries,prog_dis,dribble_attempt,dribble_suc
Ansu-Fati,de Germany,N,,45,,,,,,,0,,,,,
Ansu-Fati,ua Ukraine,Y,FW,90,,,,,,,2,,,,,
Ansu-Fati,Villarreal,Y,LW,69,61,7,0.6,0.3,4,1,2,80.8,53,308,3,3
Ansu-Fati,Celta Vigo,Y,LW,71,48,15,0.1,0.0,3,1,1,86.8,41,200,8,7
Ansu-Fati,Sevilla,Y,LW,60,38,13,0.1,0.3,2,0,1,83.3,27,149,1,0
Ansu-Fati,pt Portugal,N,FW,56,,,,,,,0,,,,,
Ansu-Fati,ch Switzerland,Y,FW,57,,,,,,,1,,,,,
Ansu-Fati,ua Ukraine,Y,LW,29,21,2,0.0,0.0,1,0,0,54.5,18,151,3,0
Ansu-Fati,Getafe,N,LW,62,58,9,0.5,0.1,5,2,3,91.1,39,111,4,0
Ansu-Fati,hu Ferencváros,Y,FW,80,30,21,0.4,0.4,2,0,1,88.9,20,69,3,1
Ansu-Fati,Real Madrid,Y,RW,25,24,2,0.0,0.0,2,1,0,84.2,18,30,1,0
Ansu-Fati,it Juventus,N,LW,77,55,9,0.5,0.2,4,0,1,90.2,49,209,6,4
Ansu-Fati,Alavés,Y,LW,73,60,14,0.4,0.5,9,2,3,91.5,52,186,5,4
Ansu-Fati,ua Dynamo Kyiv,Y,FW,45,25,13,0.1,0.1,3,0,1,100.0,22,82,1,0
