player,opponent,start,position,minute,touch,pressure,xg,xa,sca,gca,sot,pass_pct,carries,prog_dis,dribble_attempt,dribble_suc
Antoine-Griezmann,se Sweden,Y,AM,90,,,,,,,0,,,,,
Antoine-Griezmann,hr Croatia,Y,AM,76,,,,,,,2,,,,,
Antoine-Griezmann,Villarreal,Y,RW,77,30,13,0.1,0.0,0,0,0,78.6,24,49,0,0
Antoine-Griezmann,Celta Vigo,Y,RW,44,26,9,0.0,0.0,0,0,0,90.5,19,31,0,0
Antoine-Griezmann,Sevilla,Y,RW,60,19,5,0.3,0.0,0,0,0,100.0,15,63,0,0
Antoine-Griezmann,ua Ukraine,N,,32,,,,,,,,,,,,
Antoine-Griezmann,pt Portugal,Y,FW,90,,,,,,,1,,,,,
Antoine-Griezmann,hr Croatia,Y,AM,82,,,,,,,1,,,,,
Antoine-Griezmann,Getafe,Y,FW,79,38,6,0.5,0.0,0,0,0,78.8,25,40,1,1
Antoine-Griezmann,hu Ferencváros,N,"FW,CM",10,1,3,0.0,0.0,0,0,0,100.0,0,0,0,0
Antoine-Griezmann,Real Madrid,N,FW,88,55,16,0.3,0.4,2,0,0,78.7,37,41,3,1
Antoine-Griezmann,it Juventus,Y,FW,90,52,12,0.4,0.0,3,0,1,86.5,26,98,1,1
Antoine-Griezmann,Alavés,Y,FW,59,20,3,0.7,0.0,0,0,1,85.7,12,15,1,1
Antoine-Griezmann,ua Dynamo Kyiv,Y,FW,77,47,9,2.1,0.2,4,1,1,90.9,34,98,0,0
Antoine-Griezmann,Betis,Y,,34,,,,,,,,,,,,
Antoine-Griezmann,fi Finland,N,FW,90,,,,,,,0,,,,,
Antoine-Griezmann,pt Portugal,Y,FW,90,,,,,,,0,,,,,
Antoine-Griezmann,se Sweden,Y,FW,82,31,9,0.2,0.0,2,0,1,91.3,20,17,2,1
Antoine-Griezmann,Atlético Madrid,Y,CM,25,24,2,0.3,0.0,3,0,2,94.7,13,12,0,0
Antoine-Griezmann,ua Dynamo Kyiv,N,"LW,AM",90,83,11,0.6,1.1,5,1,3,91.9,74,77,3,2
Antoine-Griezmann,Osasuna,Y,AM,64,58,17,0.2,0.5,2,0,1,94.3,54,53,0,0
Antoine-Griezmann,hu Ferencváros,Y,AM,90,57,8,0.4,0.1,4,0,1,84.0,44,74,0,0
Antoine-Griezmann,Cádiz,Y,"RW,FW",90,47,10,0.2,0.2,4,0,0,90.0,24,17,0,0
