player,opponent,start,position,minute,touch,pressure,xg,xa,sca,gca,sot,pass_pct,carries,prog_dis,dribble_attempt,dribble_suc
Philippe-Coutinho,Villarreal,Y,AM,69,56,11,0.2,0.5,2,1,1,93.9,48,233,3,3
Philippe-Coutinho,Celta Vigo,Y,AM,71,62,8,0.2,0.1,4,2,1,88.7,52,166,2,2
Philippe-Coutinho,Sevilla,Y,AM,74,46,10,0.5,0.0,0,0,1,83.7,34,117,0,0
Philippe-Coutinho,bo Bolivia,Y,CM,76,,,,,,,2,,,,,
Philippe-Coutinho,pe Peru,Y,CM,68,,,,,,,0,,,,,
Philippe-Coutinho,Getafe,N,"AM,DM",29,23,1,0.0,0.0,0,0,0,84.2,22,65,1,1
Philippe-Coutinho,hu Ferencváros,Y,AM,69,63,11,0.1,0.1,1,0,1,86.0,47,63,1,1
Philippe-Coutinho,Real Madrid,Y,LM,90,76,15,0.3,0.0,2,0,1,80.6,59,228,5,3
Philippe-Coutinho,,,"LW,CM",34,23,3,0.0,0.0,0,0,0,60.0,18,80,1,1
Philippe-Coutinho,Atlético Madrid,N,CM,65,74,8,0.2,0.0,3,0,0,77.8,58,142,9,6
Philippe-Coutinho,ua Dynamo Kyiv,Y,CM,60,72,3,1.7,0.1,2,0,3,87.1,62,148,1,0
Philippe-Coutinho,Osasuna,Y,LW,45,56,0,0.1,0.0,2,0,0,83.3,45,94,0,0
