player,opponent,result,start,position,minute,touch,pressure,xg,xa,sca,gca,sot,pass_pct,pass_prog_dis,carries,dribble_prog_dis,dribble_attempt,dribble_suc
Ousmane-Dembele,Villarreal,W 4–0,N,LW,21,17,3,0.0,0.0,2,0,0,91.7,55,14,69,2,0
Ousmane-Dembele,Celta Vigo,W 3–0,N,LW,61,44,10,0.0,0.0,1,0,0,84.4,106,39,250,6,3
Ousmane-Dembele,Sevilla,D 1–1,N,RW,28,22,2,0.5,0.3,2,2,1,77.8,31,16,130,4,2
Ousmane-Dembele,Getafe,L 0–1,Y,"DM,CM",9,12,0,0.0,0.0,0,0,0,66.7,26,11,66,1,1
Ousmane-Dembele,hu Ferencváros,W 5–1,N,RW,65,50,15,0.1,0.0,1,0,2,81.1,101,55,310,15,10
Ousmane-Dembele,Real Madrid,L 1–3,N,RW,45,29,2,0.0,0.0,0,0,0,78.3,69,29,170,5,2
Ousmane-Dembele,it Juventus,W 2–0,Y,"FW,LW",31,25,4,0.1,0.0,1,0,2,85.0,33,25,104,3,3
Ousmane-Dembele,Alavés,D 1–1,Y,RM,65,40,8,0.2,0.0,1,1,1,63.6,107,33,215,4,3
Ousmane-Dembele,ua Dynamo Kyiv,W 2–1,N,"RW,LM",90,64,24,0.1,0.2,4,0,0,83.0,82,46,202,6,4
Ousmane-Dembele,Betis,W 5–2,Y,"LW,CM",30,19,5,0.0,0.0,0,0,0,66.7,26,17,82,1,0
Ousmane-Dembele,Atlético Madrid,L 0–1,Y,"LW,FW",90,69,8,1.3,0.8,6,2,1,84.5,263,66,251,5,4
Ousmane-Dembele,ua Dynamo Kyiv,W 4–0,N,LW,45,40,1,0.0,0.3,2,0,0,81.6,90,36,139,2,2
