player,opponent,result,start,position,minute,touch,pressure,xg,xa,sca,gca,sot,pass_pct,pass_prog_dis,carries,dribble_prog_dis,dribble_attempt,dribble_suc
Pedri,Villarreal,W 4–0,N,AM,21,16,7,0.0,0.0,1,0,0,85.7,38,15,31,0,0
Pedri,Celta Vigo,W 3–0,N,"LW,AM",19,12,6,0.0,0.0,0,0,0,77.8,64,10,53,0,0
Pedri,Sevilla,D 1–1,N,LW,30,15,8,0.0,0.0,1,0,0,72.7,19,12,57,1,1
Pedri,Getafe,L 0–1,Y,AM,61,39,7,0.0,0.5,2,0,0,90.9,101,32,78,1,0
Pedri,hu Ferencváros,W 5–1,N,LW,28,23,5,0.3,0.0,1,1,1,94.1,37,17,15,1,0
Pedri,Real Madrid,L 1–3,Y,RM,80,50,24,0.0,0.0,0,0,0,84.2,33,35,57,1,0
Pedri,it Juventus,W 2–0,Y,LW,89,58,30,0.1,0.0,2,1,0,95.2,85,48,189,10,8
Pedri,Alavés,D 1–1,N,DM,45,58,11,0.0,0.2,5,0,0,74.5,89,43,116,0,0
Pedri,ua Dynamo Kyiv,W 2–1,Y,AM,82,64,20,0.5,0.0,2,0,1,78.9,119,43,70,0,0
Pedri,Betis,W 5–2,Y,LM,90,67,19,0.6,0.3,1,0,1,84.5,136,50,109,1,1
Pedri,Atlético Madrid,L 0–1,Y,LW,56,30,19,0.0,0.0,0,0,0,86.4,5,26,71,2,0
Pedri,ua Dynamo Kyiv,W 4–0,Y,AM,72,68,17,0.0,0.0,3,1,0,83.9,135,50,135,2,1
Pedri,Osasuna,W 4–0,Y,CM,45,44,8,0.0,0.0,1,0,0,94.9,51,38,62,1,1
Pedri,hu Ferencváros,W 3–0,N,"DM,CB",45,65,14,0.1,0.0,3,0,0,93.2,148,52,156,2,2
Pedri,Cádiz,L 1–2,N,LW,65,41,25,0.0,0.0,1,0,0,90.3,84,29,61,1,0
