player,opponent,result,start,position,minute,touch,pressure,xg,xa,sca,gca,sot,pass_pct,pass_prog_dis,carries,dribble_prog_dis,dribble_attempt,dribble_suc
Philippe-Coutinho,Villarreal,W 4–0,Y,AM,69,56,11,0.2,0.5,2,1,1,93.9,158,48,233,3,3
Philippe-Coutinho,Celta Vigo,W 3–0,Y,AM,71,62,8,0.2,0.1,4,2,1,88.7,214,52,166,2,2
Philippe-Coutinho,Sevilla,D 1–1,Y,AM,74,46,10,0.5,0.0,0,0,1,83.7,120,34,117,0,0
Philippe-Coutinho,bo Bolivia,W 5–0,Y,CM,76,,,,,,,2,,,,,,
Philippe-Coutinho,pe Peru,W 4–2,Y,CM,68,,,,,,,0,,,,,,
Philippe-Coutinho,Getafe,L 0–1,N,"AM,DM",29,23,1,0.0,0.0,0,0,0,84.2,73,22,65,1,1
Philippe-Coutinho,hu Ferencváros,W 5–1,Y,AM,69,63,11,0.1,0.1,1,0,1,86.0,168,47,63,1,1
Philippe-Coutinho,Real Madrid,L 1–3,Y,LM,90,76,15,0.3,0.0,2,0,1,80.6,149,59,228,5,3
Philippe-Coutinho,,,,"LW,CM",34,23,3,0.0,0.0,0,0,0,60.0,26,18,80,1,1
Philippe-Coutinho,Atlético Madrid,L 0–1,N,CM,65,74,8,0.2,0.0,3,0,0,77.8,117,58,142,9,6
Philippe-Coutinho,ua Dynamo Kyiv,W 4–0,Y,CM,60,72,3,1.7,0.1,2,0,3,87.1,133,62,148,1,0
Philippe-Coutinho,Osasuna,W 4–0,Y,LW,45,56,0,0.1,0.0,2,0,0,83.3,112,45,94,0,0
