player,sca,sca90,s_passlive,s_passdead,s_drib,s_sh,s_fld,s_def,gca,gca90,g_passlive,g_passdead,g_drib,g_sh,g_fld,g_def
Danilo,11,1.26,10,0,0,1,0,0,2,0.23,2,0,0,0,0,0
Juan Cuadrado,30,3.64,18,7,4,1,0,0,5,0.61,5,0,0,0,0,0
Adrien Rabiot,10,1.48,9,0,1,0,0,0,1,0.15,0,0,1,0,0,0
Leonardo Bonucci,2,0.30,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Álvaro Morata,24,3.86,18,0,1,1,4,0,3,0.48,3,0,0,0,0,0
Wojciech Szczęsny,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dejan Kulusevski,28,4.82,17,5,2,1,2,1,2,0.34,1,0,1,0,0,0
Cristiano Ronaldo,21,4.02,12,0,2,2,4,1,2,0.38,0,0,2,0,0,0
Merih Demiral,2,0.39,1,0,0,1,0,0,1,0.20,0,0,0,1,0,0
Arthur Melo,7,1.48,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rodrigo Bentancur,8,1.79,7,1,0,0,0,0,3,0.67,3,0,0,0,0,0
Gianluca Frabotta,9,2.18,8,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Aaron Ramsey,23,5.59,20,1,0,0,2,0,2,0.49,2,0,0,0,0,0
Paulo Dybala,20,4.99,12,4,0,1,3,0,0,0.00,0,0,0,0,0,0
Federico Chiesa,12,3.46,9,0,2,0,1,0,5,1.44,3,0,1,0,1,0
Gianluigi Buffon,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matthijs de Ligt,2,0.67,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Weston McKennie,7,2.39,6,0,0,1,0,0,2,0.68,1,0,0,1,0,0
Federico Bernardeschi,10,4.59,4,3,2,0,1,0,1,0.46,1,0,0,0,0,0
Giorgio Chiellini,1,0.52,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Manolo Portanova,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Douglas Costa,3,6.43,2,1,0,0,0,0,1,2.14,1,0,0,0,0,0
Alex Sandro,1,3.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mattia De Sciglio,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Giacomo Vrioni,1,90.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
