team,name,age,mplay,xG,xA,npxG,npxG + xA
Juventus,Danilo,29,785,0.1,0.5,0.1,0.08
Juventus,Juan Cuadrado,32,742,0.5,2.2,0.5,0.32
Juventus,Adrien Rabiot,25,609,0.8,0.3,0.8,0.16
Juventus,Leonardo Bonucci,33,600,1.4,0.0,1.4,0.21
Juventus,Álvaro Morata,28,559,3.2,2.1,3.2,0.85
Juventus,Wojciech Szczęsny,30,540,0.0,0.0,0.0,0.00
Juventus,Dejan Kulusevski,20,523,0.7,0.9,0.7,0.29
Juventus,Cristiano Ronaldo,35,470,5.5,0.7,4.0,0.91
Juventus,Merih Demiral,22,458,0.2,0.1,0.2,0.05
Juventus,Arthur Melo,24,427,0.0,0.1,0.0,0.02
Juventus,Rodrigo Bentancur,23,402,0.2,0.2,0.2,0.09
Juventus,Gianluca Frabotta,21,372,0.1,0.2,0.1,0.07
Juventus,Aaron Ramsey,29,370,0.2,1.3,0.2,0.36
Juventus,Paulo Dybala,27,361,1.7,0.8,1.7,0.61
Juventus,Federico Chiesa,23,312,0.7,2.0,0.7,0.76
Juventus,Gianluigi Buffon,42,270,0.0,0.0,0.0,0.00
Juventus,Matthijs de Ligt,21,270,0.1,0.0,0.1,0.03
Juventus,Weston McKennie,22,264,0.7,0.8,0.7,0.50
Juventus,Federico Bernardeschi,26,196,0.5,0.5,0.5,0.47
Juventus,Giorgio Chiellini,36,172,0.0,0.0,0.0,0.01
Juventus,Manolo Portanova,20,55,0.5,0.0,0.5,0.85
Juventus,Douglas Costa,30,42,0.0,0.0,0.0,0.05
Juventus,Alex Sandro,29,25,0.1,0.0,0.1,0.29
Juventus,Mattia De Sciglio,28,24,0.0,0.0,0.0,0.11
Juventus,Giacomo Vrioni,22,1,0.0,0.1,0.0,5.69
Juventus,Carlo Pinsoglio,30,,,,,
Juventus,Cosimo Marco Da Graca,18,,,,,
Juventus,Alessandro Di Pardo,21,,,,,
Juventus,Radu Drăgușin,18,,,,,
Juventus,Giovanni Garofani,18,,,,,
Juventus,Franco Israel,20,,,,,
Juventus,Hans Nicolussi Caviglia,20,,,,,
Juventus,Daouda Peeters,21,,,,,
Juventus,Hamza Rafia,21,,,,,
Juventus,Daniele Rugani,26,,,,,
