Player,Position,Minute90,Attempt,Completed,Sucpct,Totaldist,Progdist,LongPass,LongComp,LongPct,MediPass,MediComp,MediPct,ShortPass,ShortComp,ShortPct,Keypass,Finalthird,Penalty,CrossPena,Progcount
Danilo,DF,8.7,762,682,89.5,13658,4100,121,93,76.9,380,355,93.4,251,230,91.6,4,70,10,3,48
Juan Cuadrado,DF,8.2,576,501,87.0,10221,3109,106,76,71.7,268,245,91.4,188,173,92.0,18,30,11,2,47
Adrien Rabiot,MF,6.8,433,386,89.1,6916,1752,51,44,86.3,179,165,92.2,188,169,89.9,4,42,10,0,34
Leonardo Bonucci,DF,6.7,462,416,90.0,9679,3116,116,87,75.0,236,227,96.2,106,101,95.3,0,24,1,0,20
Álvaro Morata,FW,6.2,189,142,75.1,2185,367,19,10,52.6,59,50,84.7,98,75,76.5,12,8,8,0,15
Wojciech Szczęsny,GK,6.0,197,181,91.9,4595,2331,70,56,80.0,83,81,97.6,43,43,100.0,0,2,0,0,0
Dejan Kulusevski,"MF,FW",5.8,252,202,80.2,3191,991,34,19,55.9,81,67,82.7,121,106,87.6,13,13,6,0,22
Cristiano Ronaldo,FW,5.2,216,170,78.7,2626,515,15,10,66.7,76,58,76.3,110,97,88.2,6,15,5,2,16
Merih Demiral,DF,5.1,335,311,92.8,6135,1671,39,33,84.6,188,184,97.9,105,93,88.6,1,8,0,0,7
Arthur Melo,MF,4.7,415,392,94.5,7480,1826,62,59,95.2,167,163,97.6,179,166,92.7,5,29,4,0,24
Rodrigo Bentancur,MF,4.5,323,289,89.5,5450,1382,51,37,72.5,133,125,94.0,133,123,92.5,3,31,3,0,35
Gianluca Frabotta,DF,4.1,281,235,83.6,4157,1395,28,16,57.1,143,125,87.4,100,90,90.0,2,14,4,2,27
Aaron Ramsey,"MF,FW",4.1,249,205,82.3,3370,1008,29,17,58.6,94,77,81.9,115,105,91.3,11,24,7,1,26
Paulo Dybala,FW,4.0,240,194,80.8,3573,819,50,29,58.0,75,66,88.0,101,90,89.1,11,16,10,1,27
Federico Chiesa,"MF,DF",3.5,120,86,71.7,1513,483,18,11,61.1,39,28,71.8,54,46,85.2,7,3,7,4,8
Gianluigi Buffon,GK,3.0,110,95,86.4,2057,1091,36,21,58.3,43,43,100.0,29,29,100.0,0,1,0,0,0
Matthijs de Ligt,DF,3.0,220,202,91.8,4432,1178,45,38,84.4,119,112,94.1,55,51,92.7,0,8,2,0,13
Weston McKennie,MF,2.9,158,136,86.1,2449,508,24,19,79.2,55,48,87.3,70,64,91.4,2,5,1,0,6
Federico Bernardeschi,"MF,DF",2.2,106,81,76.4,1315,389,15,6,40.0,37,32,86.5,46,38,82.6,4,6,3,1,7
Giorgio Chiellini,DF,1.9,159,148,93.1,3161,1057,25,20,80.0,92,87,94.6,41,41,100.0,0,15,0,0,10
Manolo Portanova,FW,0.6,18,16,88.9,191,20,0,0,,7,5,71.4,11,11,100.0,0,0,0,0,0
Douglas Costa,"MF,FW",0.5,27,20,74.1,304,85,3,1,33.3,9,7,77.8,14,12,85.7,1,1,0,0,1
Alex Sandro,DF,0.3,36,24,66.7,498,172,3,1,33.3,20,17,85.0,11,6,54.5,0,2,0,0,3
Mattia De Sciglio,DF,0.3,12,9,75.0,183,15,3,2,66.7,4,4,100.0,4,3,75.0,0,0,0,0,0
Giacomo Vrioni,MF,0.0,2,2,100.0,14,4,0,0,,0,0,,1,1,100.0,1,0,0,0,0
