player,press,switch,intercepted,blocked
Danilo,65,11,4,9
Juan Cuadrado,40,30,9,5
Adrien Rabiot,52,8,4,10
Leonardo Bonucci,36,16,1,6
Álvaro Morata,41,5,5,6
Wojciech Szczęsny,15,7,0,0
Dejan Kulusevski,50,7,4,8
Cristiano Ronaldo,37,8,3,12
Merih Demiral,23,3,2,2
Arthur Melo,46,12,2,4
Rodrigo Bentancur,32,7,4,3
Gianluca Frabotta,28,3,3,9
Aaron Ramsey,32,4,5,5
Paulo Dybala,23,15,4,8
Federico Chiesa,22,5,6,6
Gianluigi Buffon,15,0,0,0
Matthijs de Ligt,13,6,1,0
Weston McKennie,34,3,0,4
Federico Bernardeschi,8,3,5,3
Giorgio Chiellini,4,2,2,1
Manolo Portanova,3,0,0,0
Douglas Costa,6,0,1,1
Alex Sandro,2,0,5,3
Mattia De Sciglio,3,0,0,1
Giacomo Vrioni,0,0,0,0
