Player,Gls,xG,TotalS,TotalS/90,SonTar,SonT/90
Danilo,0,0.1,5,0.57,0,0.00
Juan Cuadrado,0,0.5,7,0.85,1,0.12
Adrien Rabiot,1,0.8,8,1.18,4,0.59
Leonardo Bonucci,2,1.4,6,0.90,2,0.30
Álvaro Morata,3,3.2,16,2.58,5,0.81
Wojciech Szczęsny,0,0.0,0,0.00,0,0.00
Dejan Kulusevski,2,0.7,11,1.89,3,0.52
Cristiano Ronaldo,8,5.5,27,5.17,11,2.11
Merih Demiral,0,0.2,3,0.59,0,0.00
Arthur Melo,0,0.0,0,0.00,0,0.00
Rodrigo Bentancur,0,0.2,4,0.90,0,0.00
Gianluca Frabotta,0,0.1,2,0.48,1,0.24
Aaron Ramsey,0,0.2,2,0.49,1,0.24
Paulo Dybala,0,1.7,20,4.99,3,0.75
Federico Chiesa,0,0.7,5,1.44,2,0.58
Gianluigi Buffon,0,0.0,0,0.00,0,0.00
Matthijs de Ligt,0,0.1,1,0.33,0,0.00
Weston McKennie,1,0.7,5,1.70,3,1.02
Federico Bernardeschi,0,0.5,5,2.30,4,1.84
Giorgio Chiellini,0,0.0,1,0.52,0,0.00
Manolo Portanova,0,0.5,4,6.55,1,1.64
Douglas Costa,0,0.0,0,0.00,0,0.00
Alex Sandro,0,0.1,1,3.60,0,0.00
Mattia De Sciglio,0,0.0,1,3.75,0,0.00
Giacomo Vrioni,0,0.0,0,0.00,0,0.00
