team,name,nation,position,age,play,start,mplay,goal,assist,PK,PKatt,CrdY,CrdR,perG,perA,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Lionel Messi\Lionel-Messi,ar ARG,FW,33,4,4,360,1,0,1,1,0,0,0.25,0.00,0.25,0.00,0.00,2.1,1.4,0.6,0.53,0.15,0.68,0.34,0.49,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Neto\Neto,br BRA,GK,31,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Gerard Piqué\Gerard-Pique,es ESP,DF,33,4,4,360,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Sergi Roberto\Sergi-Roberto,es ESP,DF,28,4,4,356,1,0,0,0,1,0,0.25,0.00,0.25,0.25,0.25,0.4,0.4,0.3,0.11,0.06,0.17,0.11,0.17,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Frenkie de Jong\Frenkie-de-Jong,nl NED,MF,23,4,4,349,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.10,0.09,0.19,0.10,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Sergio Busquets\Sergio-Busquets,es ESP,MF,32,4,4,347,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.13,0.13,0.00,0.13,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Antoine Griezmann\Antoine-Griezmann,fr FRA,FW,29,4,4,260,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,0.31,0.00,0.31,0.31,0.31,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Jordi Alba\Jordi-Alba,es ESP,DF,31,3,3,254,0,1,0,0,1,0,0.00,0.35,0.35,0.00,0.35,0.1,0.1,0.4,0.03,0.13,0.16,0.03,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Philippe Coutinho\Philippe-Coutinho,br BRA,MF,28,4,3,243,1,2,0,0,0,0,0.37,0.74,1.11,0.37,1.11,0.9,0.9,0.5,0.35,0.20,0.55,0.35,0.55,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Ansu Fati\Ansu-Fati,es ESP,FW,17,4,3,229,3,0,0,0,0,0,1.18,0.00,1.18,1.18,1.18,0.8,0.8,0.7,0.30,0.26,0.56,0.30,0.56,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Clément Lenglet\Clement-Lenglet,fr FRA,DFFW,25,3,3,221,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Ronald Araújo\Ronald-Araujo,uy URU,DF,21,2,1,136,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Pedri\Pedri,es ESP,MFFW,17,4,1,131,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.36,0.36,0.00,0.36,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Sergiño Dest\Sergino-Dest,us USA,DF,19,2,1,106,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.07,0.07,0.00,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,23,2,1,82,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Francisco Trincão\Francisco-Trincao,pt POR,FW,20,4,0,73,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.38,0.06,0.44,0.38,0.44,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Miralem Pjanić\Miralem-Pjanic,ba BIH,MF,30,2,0,29,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.11,0.00,0.11,0.11,0.11,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
