Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2009-2010,17,17,"1,530",18,1.06,71,53,.746,7,41.2,,,,,,,,,,,,,
2010-2011,37,37,"3,330",46,1.24,134,88,.657,8,21.6,,,,,,,,,,,,,
2011-2012,3,3,270,3,1.00,13,10,.769,1,33.3,,,,,,,,,,,,,
2011-2012,33,33,"2,970",42,1.27,137,95,.693,11,33.3,,,,,,,,,,,,,
2012-2013,32,32,"2,880",34,1.06,112,78,.696,11,34.4,,,,,,,,,,,,,
2013-2014,34,34,"3,060",41,1.21,146,105,.719,7,20.6,,,,,,,,,,,,,
2014-2015,34,34,"3,060",37,1.09,116,79,.681,16,47.1,,,,,,,,,,,,,
2015-2016,33,33,"2,970",38,1.15,134,96,.716,13,39.4,,,,,,,,,,,,,
2016-2017,34,34,"3,060",55,1.62,160,105,.675,6,17.6,,,,,,,,,,,,,
2017-2018,33,33,"2,970",40,1.21,104,68,.663,10,30.3,34.5,0.29,-5.5,-0.17,37.4,44.6,38.8,50.6,38.8,223,5.4,0.97,18.0
2018-2019,32,31,"2,835",42,1.33,139,105,.748,7,22.6,44.0,0.28,+4.0,+0.13,29.9,33.3,35.5,50.2,35.5,251,6.8,0.57,14.8
2019-2020,30,30,"2,649",39,1.33,147,110,.776,7,23.3,45.1,0.27,+6.1,+0.21,28.1,28.1,31.9,40.0,31.9,273,6.6,0.61,13.5
2020-2021,8,8,720,10,1.25,31,22,.677,2,25.0,8.1,0.28,-0.9,-0.12,42.3,15.7,25.5,29.8,25.5,66,6.1,1.13,18.4
