Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2011-2012,1,1,90,3,3.00,6,3,.500,0,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,11,11,990,14,1.27,48,34,.708,2,18.2,,,,,,,,,,,,,
2014-2015,4,3,302,4,1.19,8,4,.500,2,66.7,,,,,,,,,,,,,
2014-2015,8,8,720,10,1.25,33,23,.697,2,25.0,,,,,,,,,,,,,
2015-2016,13,13,"1,136",17,1.35,59,42,.712,4,30.8,,,,,,,,,,,,,
2016-2017,3,3,270,,,,0,,1,33.3,,,,,,,,,,,,,
2016-2017,2,2,180,3,1.50,8,5,.750,1,50.0,,,,,,,,,,,,,
2017-2018,5,5,450,7,1.40,19,13,.684,2,40.0,6.4,0.29,-0.6,-0.11,40.9,82.2,59.6,73.0,59.6,51,13.7,0.60,13.9
2018-2019,18,18,"1,620",23,1.28,97,75,.773,5,27.8,,,,,,,,,,,,,
2018-2019,1,1,90,,,,,,0,0.0,,,,,,,,,,,,,
2019-2020,9,8,771,9,1.05,42,33,.810,3,37.5,12.9,0.29,+3.9,+0.46,33.6,34.5,35.1,47.0,35.1,80,6.3,0.35,12.3
2020-2021,8,8,720,11,1.37,33,21,.667,4,50.0,12.5,0.36,+1.5,+0.19,38.3,57.9,45.9,60.5,45.9,89,7.9,0.00,12.7
