Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2014,16,16,"1,440",19,1.19,62,43,.694,5,31.3,,,,,,,,,,,,,
2014-2015,16,16,"1,440",19,1.19,64,45,.703,5,31.3,,,,,,,,,,,,,
2015-2016,33,33,"2,887",37,1.15,114,77,.675,10,30.3,,,,,,,,,,,,,
2016-2017,16,16,"1,440",27,1.69,66,39,.667,3,18.8,,,,,,,,,,,,,
2016-2017,17,17,"1,530",19,1.12,81,62,.778,8,47.1,,,,,,,,,,,,,
2017-2018,34,34,"3,060",32,0.94,126,94,.794,11,32.4,,,,,,,,,,,,,
2018-2019,34,34,"3,060",36,1.06,,,,14,41.2,,,,,,,,,,,,,
2019-2020,2,2,180,2,1.00,9,7,.778,1,50.0,,,,,,,,,,,,,
2019-2020,31,31,"2,790",19,0.61,67,49,.731,18,58.1,,,,,,,,,,,,,
2020-2021,6,6,540,7,1.17,19,13,.684,2,33.3,,,,,,,,,,,,,
