Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2009-2010,19,19,"1,710",28,1.47,82,54,.659,3,15.8,,,,,,,,,,,,,
2010-2011,38,38,"3,420",53,1.39,199,146,.734,11,28.9,,,,,,,,,,,,,
2011-2012,29,29,"2,610",29,1.00,134,105,.784,13,44.8,,,,,,,,,,,,,
2012-2013,28,28,"2,520",26,0.93,114,88,.772,11,39.3,,,,,,,,,,,,,
2013-2014,37,37,"3,330",43,1.16,139,96,.691,12,32.4,,,,,,,,,,,,,
2014-2015,37,37,"3,313",36,0.98,127,91,.717,11,29.7,,,,,,,,,,,,,
2015-2016,34,34,"3,060",33,0.97,111,78,.703,15,44.1,,,,,,,,,,,,,
2016-2017,35,35,"3,150",29,0.83,103,74,.757,14,40.0,,,,,,,,,,,,,
2017-2018,37,37,"3,330",28,0.76,140,115,.807,18,48.6,33.9,0.24,+7.9,+0.21,38.0,52.3,43.0,62.7,43.0,346,6.6,0.46,13.5
2018-2019,38,38,"3,420",54,1.42,169,124,.716,7,18.4,51.9,0.28,+0.9,+0.02,46.6,53.0,43.8,60.5,43.8,310,6.1,0.34,12.6
2019-2020,38,38,"3,420",36,0.95,125,92,.736,13,34.2,37.1,0.28,+2.1,+0.05,38.6,33.8,34.3,33.9,34.3,285,5.3,0.29,13.3
2020-2021,8,8,720,14,1.75,22,13,.545,2,25.0,12.3,0.39,-0.7,-0.09,38.1,33.1,32.2,37.2,32.2,61,1.6,0.38,14.2
