Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2005-2006,5,5,450,5,1.00,22,17,.773,1,20.0,,,,,,,,,,,,,
2006-2007,37,37,"3,330",37,1.00,176,139,.790,13,35.1,,,,,,,,,,,,,
2007-2008,30,30,"2,637",24,0.82,116,92,.793,13,43.3,,,,,,,,,,,,,
2008-2009,35,35,"3,150",27,0.77,112,85,.759,16,45.7,,,,,,,,,,,,,
2009-2010,36,36,"3,240",33,0.92,151,118,.781,16,44.4,,,,,,,,,,,,,
2010-2011,37,37,"3,330",40,1.08,138,98,.710,12,32.4,,,,,,,,,,,,,
2011-2012,36,36,"3,194",48,1.35,159,111,.698,5,13.9,,,,,,,,,,,,,
2012-2013,2,2,180,2,1.00,5,3,.600,0,0.0,,,,,,,,,,,,,
2012-2013,27,27,"2,430",29,1.07,82,53,.646,9,33.3,,,,,,,,,,,,,
2013-2014,37,37,"3,330",50,1.35,148,98,.662,14,37.8,,,,,,,,,,,,,
2014-2015,35,35,"3,063",48,1.41,153,105,.686,8,22.9,,,,,,,,,,,,,
2015-2016,37,37,"3,330",34,0.92,119,85,.714,13,35.1,,,,,,,,,,,,,
2016-2017,34,34,"3,004",24,0.72,101,77,.772,15,44.1,,,,,,,,,,,,,
2017-2018,36,36,"3,240",35,0.97,120,86,.725,15,41.7,36.2,0.29,+1.2,+0.03,42.8,31.9,34.8,48.9,34.8,310,8.4,0.94,16.5
2018-2019,33,33,"2,970",33,1.00,122,94,.754,12,36.4,41.3,0.31,+11.3,+0.34,46.8,37.0,36.0,47.1,36.0,281,5.0,0.52,14.9
2019-2020,21,21,"1,807",21,1.05,93,74,.796,6,28.6,27.3,0.27,+7.3,+0.36,44.3,49.9,40.7,44.1,40.7,189,5.8,0.20,11.4
2020-2021,9,9,810,9,1.00,27,22,.778,3,33.3,7.0,0.18,-1.0,-0.12,36.9,42.7,36.5,37.6,36.5,72,2.8,0.67,15.1
