Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2011-2012,16,16,"1,439",29,1.81,86,57,.663,4,25.0,,,,,,,,,,,,,
2012-2013,28,28,"2,501",40,1.44,102,62,.608,6,21.4,,,,,,,,,,,,,
2013-2014,16,15,"1,351",5,0.33,48,43,.896,11,73.3,,,,,,,,,,,,,
2014-2015,11,11,990,6,0.55,24,18,.750,7,63.6,,,,,,,,,,,,,
2015-2016,38,38,"3,420",18,0.47,99,81,.818,24,63.2,,,,,,,,,,,,,
2016-2017,30,30,"2,649",21,0.71,90,69,.800,15,50.0,,,,,,,,,,,,,
2017-2018,37,37,"3,330",22,0.59,126,106,.833,22,59.5,32.5,0.24,+11.5,+0.31,33.8,60.0,45.1,58.2,45.1,378,7.9,0.27,14.1
2018-2019,37,37,"3,330",27,0.73,123,103,.821,20,54.1,36.1,0.26,+11.1,+0.30,38.4,61.3,46.6,62.3,46.6,356,10.1,0.32,14.1
2019-2020,38,38,"3,395",27,0.72,105,82,.771,17,44.7,25.2,0.22,+1.2,+0.03,39.9,64.4,46.9,56.5,46.9,347,5.5,0.45,14.0
2020-2021,8,8,720,2,0.25,29,27,.931,6,75.0,4.8,0.19,+2.8,+0.40,40.6,51.0,41.3,43.2,41.3,75,8.0,0.29,13.3
