Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2010-2011,36,36,"3,240",49,1.36,155,106,.684,5,13.9,,,,,,,,,,,,,
2011-2012,1,1,90,0,0.00,5,5,1.000,1,100.0,,,,,,,,,,,,,
2012-2013,9,9,810,10,1.11,47,37,.787,2,22.2,,,,,,,,,,,,,
2013-2014,37,37,"3,249",39,1.08,192,153,.797,16,43.2,,,,,,,,,,,,,
2014-2015,6,6,540,3,0.50,14,11,.786,3,50.0,,,,,,,,,,,,,
2015-2016,34,34,"3,060",28,0.82,95,67,.705,13,38.2,,,,,,,,,,,,,
2016-2017,27,27,"2,430",31,1.15,119,88,.748,5,18.5,,,,,,,,,,,,,
2017-2018,27,27,"2,430",31,1.15,112,84,.741,7,25.9,33.8,0.28,+3.8,+0.14,38.6,24.7,31.7,57.6,31.7,215,10.2,0.70,15.1
2018-2019,10,10,900,8,0.80,30,22,.733,4,40.0,8.6,0.29,+0.6,+0.06,34.4,29.4,34.0,44.4,34.0,79,7.6,0.60,15.0
2019-2020,21,21,"1,890",18,0.86,65,46,.723,11,52.4,15.4,0.24,-1.6,-0.07,50.8,24.4,30.9,29.7,30.9,112,6.3,0.33,14.0
2020-2021,8,8,720,4,0.50,20,17,.850,6,75.0,7.0,0.26,+3.0,+0.37,57.9,26.7,30.1,30.5,30.1,69,5.8,0.38,10.7
