Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2006-2007,27,27,"2,430",21,0.78,117,96,.821,13,48.1,,,,,,,,,,,,,
2007-2008,34,34,"3,060",32,0.94,142,110,.775,12,35.3,,,,,,,,,,,,,
2008-2009,27,27,"2,430",26,0.96,133,107,.805,11,40.7,,,,,,,,,,,,,
2009-2010,34,34,"3,060",31,0.91,161,130,.807,15,44.1,,,,,,,,,,,,,
2010-2011,34,34,"3,058",44,1.29,165,121,.733,11,32.4,,,,,,,,,,,,,
2011-2012,33,33,"2,970",22,0.67,78,56,.718,17,51.5,,,,,,,,,,,,,
2012-2013,31,31,"2,790",18,0.58,89,71,.798,18,58.1,,,,,,,,,,,,,
2013-2014,31,31,"2,745",18,0.59,99,81,.818,15,48.4,,,,,,,,,,,,,
2014-2015,32,31,"2,867",18,0.57,94,76,.809,20,64.5,,,,,,,,,,,,,
2015-2016,34,34,"3,020",16,0.48,80,64,.800,20,58.8,,,,,,,,,,,,,
2016-2017,26,26,"2,340",13,0.50,67,54,.806,14,53.8,,,,,,,,,,,,,
2017-2018,3,3,270,2,0.67,8,6,.750,2,66.7,1.5,0.19,-0.5,-0.17,64.3,35.6,34.3,32.6,34.3,5,0.0,0.33,12.1
2018-2019,26,26,"2,303",23,0.90,51,32,.608,10,38.5,16.4,0.28,-5.6,-0.22,48.7,30.9,32.5,33.1,32.5,127,7.1,1.17,18.1
2019-2020,33,33,"2,970",31,0.94,111,84,.748,15,45.5,32.5,0.27,+2.5,+0.08,58.9,26.0,30.1,29.0,30.1,195,6.7,1.64,19.3
2020-2021,8,8,720,12,1.50,30,18,.633,2,25.0,13.4,0.46,+2.4,+0.35,62.5,25.5,30.7,31.8,30.7,52,0.0,0.57,14.4
