Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2010-2011,6,6,540,3,0.50,22,19,.864,3,50.0,,,,,,,,,,,,,
2011-2012,34,34,"3,060",24,0.71,127,103,.811,15,44.1,,,,,,,,,,,,,
2012-2013,34,34,"3,046",47,1.39,169,122,.722,9,26.5,,,,,,,,,,,,,
2013-2014,34,34,"3,060",43,1.26,185,142,.768,9,26.5,,,,,,,,,,,,,
2015-2016,7,6,543,7,1.16,20,13,.650,2,33.3,,,,,,,,,,,,,
2016-2017,36,36,"3,240",33,0.92,162,129,.796,13,36.1,,,,,,,,,,,,,
2017-2018,37,37,"3,330",28,0.76,129,103,.798,19,51.4,35.7,0.27,+7.7,+0.21,47.7,27.0,30.1,47.8,30.1,290,9.3,0.59,15.9
2018-2019,35,35,"3,150",32,0.91,116,86,.733,16,45.7,34.2,0.29,+3.2,+0.09,51.4,21.8,29.0,40.3,29.0,287,12.2,0.77,16.4
2019-2020,36,36,"3,240",36,1.00,110,78,.727,14,38.9,34.8,0.27,-1.2,-0.03,60.7,22.8,28.8,31.0,28.8,266,4.9,0.75,15.1
2020-2021,2,2,180,3,1.50,8,5,.625,0,0.0,1.8,0.31,-0.2,-0.15,66.7,9.4,26.0,41.3,26.0,4,25.0,1.00,15.2
