Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnp,Net,Psxg90,Launch,Plaunch,Lave,Gkave,Plave,Cross,Cstop,Outside,Dist
2007-2008,12,12,"1,080",14,1.17,59,45,.763,3,25.0,"<td class=""right iz group_start"" data-stat=""psxg_gk""></td>","<td class=""right iz"" data-stat=""psnpxg_per_shot_on_target_against""></td>","<td class=""right iz"" data-stat=""psxg_net_gk""></td>","<td class=""right iz"" data-stat=""psxg_net_per90_gk""></td>","<td class=""right iz"" data-stat=""passes_pct_launched_gk""></td>","<td class=""right iz"" data-stat=""pct_passes_launched_gk""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz"" data-stat=""goal_kick_length_avg""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz group_start"" data-stat=""crosses_gk""></td>","<td class=""right iz"" data-stat=""crosses_stopped_pct_gk""></td>","<td class=""right iz"" data-stat=""def_actions_outside_pen_area_per90_gk""></td>","<td class=""right iz"" data-stat=""avg_distance_def_actions_gk""></td>"
2008-2009,28,27,"2,433",18,0.67,126,108,.857,18,66.7,"<td class=""right iz group_start"" data-stat=""psxg_gk""></td>","<td class=""right iz"" data-stat=""psnpxg_per_shot_on_target_against""></td>","<td class=""right iz"" data-stat=""psxg_net_gk""></td>","<td class=""right iz"" data-stat=""psxg_net_per90_gk""></td>","<td class=""right iz"" data-stat=""passes_pct_launched_gk""></td>","<td class=""right iz"" data-stat=""pct_passes_launched_gk""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz"" data-stat=""goal_kick_length_avg""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz group_start"" data-stat=""crosses_gk""></td>","<td class=""right iz"" data-stat=""crosses_stopped_pct_gk""></td>","<td class=""right iz"" data-stat=""def_actions_outside_pen_area_per90_gk""></td>","<td class=""right iz"" data-stat=""avg_distance_def_actions_gk""></td>"
2009-2010,27,27,"2,352",30,1.15,110,80,.727,8,29.6,"<td class=""right iz group_start"" data-stat=""psxg_gk""></td>","<td class=""right iz"" data-stat=""psnpxg_per_shot_on_target_against""></td>","<td class=""right iz"" data-stat=""psxg_net_gk""></td>","<td class=""right iz"" data-stat=""psxg_net_per90_gk""></td>","<td class=""right iz"" data-stat=""passes_pct_launched_gk""></td>","<td class=""right iz"" data-stat=""pct_passes_launched_gk""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz"" data-stat=""goal_kick_length_avg""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz group_start"" data-stat=""crosses_gk""></td>","<td class=""right iz"" data-stat=""crosses_stopped_pct_gk""></td>","<td class=""right iz"" data-stat=""def_actions_outside_pen_area_per90_gk""></td>","<td class=""right iz"" data-stat=""avg_distance_def_actions_gk""></td>"
2010-2011,23,23,"2,070",25,1.09,96,71,.740,8,34.8,"<td class=""right iz group_start"" data-stat=""psxg_gk""></td>","<td class=""right iz"" data-stat=""psnpxg_per_shot_on_target_against""></td>","<td class=""right iz"" data-stat=""psxg_net_gk""></td>","<td class=""right iz"" data-stat=""psxg_net_per90_gk""></td>","<td class=""right iz"" data-stat=""passes_pct_launched_gk""></td>","<td class=""right iz"" data-stat=""pct_passes_launched_gk""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz"" data-stat=""goal_kick_length_avg""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz group_start"" data-stat=""crosses_gk""></td>","<td class=""right iz"" data-stat=""crosses_stopped_pct_gk""></td>","<td class=""right iz"" data-stat=""def_actions_outside_pen_area_per90_gk""></td>","<td class=""right iz"" data-stat=""avg_distance_def_actions_gk""></td>"
2011-2012,29,29,"2,550",24,0.85,120,96,.800,13,44.8,"<td class=""right iz group_start"" data-stat=""psxg_gk""></td>","<td class=""right iz"" data-stat=""psnpxg_per_shot_on_target_against""></td>","<td class=""right iz"" data-stat=""psxg_net_gk""></td>","<td class=""right iz"" data-stat=""psxg_net_per90_gk""></td>","<td class=""right iz"" data-stat=""passes_pct_launched_gk""></td>","<td class=""right iz"" data-stat=""pct_passes_launched_gk""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz"" data-stat=""goal_kick_length_avg""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz group_start"" data-stat=""crosses_gk""></td>","<td class=""right iz"" data-stat=""crosses_stopped_pct_gk""></td>","<td class=""right iz"" data-stat=""def_actions_outside_pen_area_per90_gk""></td>","<td class=""right iz"" data-stat=""avg_distance_def_actions_gk""></td>"
2012-2013,32,32,"2,825",39,1.24,133,94,.707,9,28.1,"<td class=""right iz group_start"" data-stat=""psxg_gk""></td>","<td class=""right iz"" data-stat=""psnpxg_per_shot_on_target_against""></td>","<td class=""right iz"" data-stat=""psxg_net_gk""></td>","<td class=""right iz"" data-stat=""psxg_net_per90_gk""></td>","<td class=""right iz"" data-stat=""passes_pct_launched_gk""></td>","<td class=""right iz"" data-stat=""pct_passes_launched_gk""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz"" data-stat=""goal_kick_length_avg""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz group_start"" data-stat=""crosses_gk""></td>","<td class=""right iz"" data-stat=""crosses_stopped_pct_gk""></td>","<td class=""right iz"" data-stat=""def_actions_outside_pen_area_per90_gk""></td>","<td class=""right iz"" data-stat=""avg_distance_def_actions_gk""></td>"
2013-2014,3,2,227,1,0.40,3,2,.667,1,50.0,"<td class=""right iz group_start"" data-stat=""psxg_gk""></td>","<td class=""right iz"" data-stat=""psnpxg_per_shot_on_target_against""></td>","<td class=""right iz"" data-stat=""psxg_net_gk""></td>","<td class=""right iz"" data-stat=""psxg_net_per90_gk""></td>","<td class=""right iz"" data-stat=""passes_pct_launched_gk""></td>","<td class=""right iz"" data-stat=""pct_passes_launched_gk""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz"" data-stat=""goal_kick_length_avg""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz group_start"" data-stat=""crosses_gk""></td>","<td class=""right iz"" data-stat=""crosses_stopped_pct_gk""></td>","<td class=""right iz"" data-stat=""def_actions_outside_pen_area_per90_gk""></td>","<td class=""right iz"" data-stat=""avg_distance_def_actions_gk""></td>"
2014-2015,10,9,880,12,1.23,43,31,.721,1,11.1,"<td class=""right iz group_start"" data-stat=""psxg_gk""></td>","<td class=""right iz"" data-stat=""psnpxg_per_shot_on_target_against""></td>","<td class=""right iz"" data-stat=""psxg_net_gk""></td>","<td class=""right iz"" data-stat=""psxg_net_per90_gk""></td>","<td class=""right iz"" data-stat=""passes_pct_launched_gk""></td>","<td class=""right iz"" data-stat=""pct_passes_launched_gk""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz"" data-stat=""goal_kick_length_avg""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz group_start"" data-stat=""crosses_gk""></td>","<td class=""right iz"" data-stat=""crosses_stopped_pct_gk""></td>","<td class=""right iz"" data-stat=""def_actions_outside_pen_area_per90_gk""></td>","<td class=""right iz"" data-stat=""avg_distance_def_actions_gk""></td>"
2015-2016,4,4,360,2,0.50,9,7,.778,3,75.0,"<td class=""right iz group_start"" data-stat=""psxg_gk""></td>","<td class=""right iz"" data-stat=""psnpxg_per_shot_on_target_against""></td>","<td class=""right iz"" data-stat=""psxg_net_gk""></td>","<td class=""right iz"" data-stat=""psxg_net_per90_gk""></td>","<td class=""right iz"" data-stat=""passes_pct_launched_gk""></td>","<td class=""right iz"" data-stat=""pct_passes_launched_gk""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz"" data-stat=""goal_kick_length_avg""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz group_start"" data-stat=""crosses_gk""></td>","<td class=""right iz"" data-stat=""crosses_stopped_pct_gk""></td>","<td class=""right iz"" data-stat=""def_actions_outside_pen_area_per90_gk""></td>","<td class=""right iz"" data-stat=""avg_distance_def_actions_gk""></td>"
2016-2017,2,2,180,0,0.00,10,10,1.000,2,100.0,"<td class=""right iz group_start"" data-stat=""psxg_gk""></td>","<td class=""right iz"" data-stat=""psnpxg_per_shot_on_target_against""></td>","<td class=""right iz"" data-stat=""psxg_net_gk""></td>","<td class=""right iz"" data-stat=""psxg_net_per90_gk""></td>","<td class=""right iz"" data-stat=""passes_pct_launched_gk""></td>","<td class=""right iz"" data-stat=""pct_passes_launched_gk""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz"" data-stat=""goal_kick_length_avg""></td>","<td class=""right iz"" data-stat=""passes_length_avg_gk""></td>","<td class=""right iz group_start"" data-stat=""crosses_gk""></td>","<td class=""right iz"" data-stat=""crosses_stopped_pct_gk""></td>","<td class=""right iz"" data-stat=""def_actions_outside_pen_area_per90_gk""></td>","<td class=""right iz"" data-stat=""avg_distance_def_actions_gk""></td>"
