team,name,age,mplay,xG,xA,npxG,npxG + xA
Real-Madrid,Thibaut Courtois,28,540,0.0,0.0,0.0,0.00
Real-Madrid,Raphaël Varane,27,540,0.5,0.0,0.5,0.08
Real-Madrid,Karim Benzema,32,536,3.1,1.3,3.1,0.74
Real-Madrid,Sergio Ramos,34,495,3.0,0.2,1.5,0.30
Real-Madrid,Casemiro,28,427,0.3,0.3,0.3,0.13
Real-Madrid,Federico Valverde,22,402,0.7,1.7,0.7,0.54
Real-Madrid,Vinicius Júnior,20,370,2.4,0.1,2.4,0.61
Real-Madrid,Ferland Mendy,25,360,0.1,0.2,0.1,0.09
Real-Madrid,Luka Modrić,35,360,0.6,0.3,0.6,0.22
Real-Madrid,Toni Kroos,30,301,0.4,1.8,0.4,0.67
Real-Madrid,Nacho,30,222,0.0,0.0,0.0,0.02
Real-Madrid,Marco Asensio,24,227,0.1,0.5,0.1,0.21
Real-Madrid,Dani Carvajal,28,214,0.0,0.0,0.0,0.03
Real-Madrid,Marcelo,32,180,0.1,0.0,0.1,0.08
Real-Madrid,Isco,28,148,0.4,0.2,0.4,0.39
Real-Madrid,Luka Jović,22,141,0.6,0.1,0.6,0.46
Real-Madrid,Martin Ødegaard,21,115,0.0,0.2,0.0,0.15
Real-Madrid,Lucas Vázquez,29,115,0.0,0.5,0.0,0.40
Real-Madrid,Rodrygo,19,101,0.0,0.9,0.0,0.82
Real-Madrid,Álvaro Odriozola,24,56,0.0,0.0,0.0,0.00
Real-Madrid,Éder Militão,22,45,0.0,0.0,0.0,0.00
Real-Madrid,Borja Mayoral,23,23,0.0,0.0,0.0,0.00
Real-Madrid,Marvin Olawale Akinlabi Park,20,21,0.0,0.0,0.0,0.00
Real-Madrid,Sergio Arribas,19,1,0.0,0.0,0.0,0.00
Real-Madrid,Diego Altube,20,,,,,
Real-Madrid,Lucas Cañizars,18,,,,,
Real-Madrid,Víctor Chust,20,,,,,
Real-Madrid,Luis López,19,,,,,
Real-Madrid,Andriy Lunin,21,,,,,
