player,sca,sca90,s_passlive,s_passdead,s_drib,s_sh,s_fld,s_def,gca,gca90,g_passlive,g_passdead,g_drib,g_sh,g_fld,g_def
Thibaut Courtois,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Raphaël Varane,5,0.56,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Karim Benzema,22,2.82,18,0,2,1,1,0,6,0.77,5,0,1,0,0,0
Luka Modrić,25,3.22,17,3,3,0,0,2,1,0.13,0,0,1,0,0,0
Sergio Ramos,5,0.67,2,0,0,2,1,0,1,0.13,0,0,0,0,1,0
Casemiro,10,1.54,9,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Toni Kroos,29,5.26,13,14,0,2,0,0,0,0.00,0,0,0,0,0,0
Vinicius Júnior,18,3.13,15,0,2,1,0,0,2,0.35,1,0,0,1,0,0
Ferland Mendy,9,1.59,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Federico Valverde,13,2.18,12,0,0,1,0,0,2,0.34,2,0,0,0,0,0
Lucas Vázquez,17,3.51,16,0,1,0,0,0,1,0.21,1,0,0,0,0,0
Nacho,2,0.45,2,0,0,0,0,0,1,0.22,1,0,0,0,0,0
Marco Asensio,11,2.37,10,1,0,0,0,0,1,0.22,1,0,0,0,0,0
Marcelo,12,2.52,8,1,2,1,0,0,2,0.42,2,0,0,0,0,0
Isco,12,3.50,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Dani Carvajal,3,0.89,3,0,0,0,0,0,1,0.30,1,0,0,0,0,0
Martin Ødegaard,5,1.97,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Eden Hazard,4,2.40,2,0,2,0,0,0,1,0.60,0,0,1,0,0,0
Rodrygo,13,5.27,8,0,2,1,1,1,3,1.22,3,0,0,0,0,0
Mariano,4,1.90,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Luka Jović,4,2.42,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Éder Militão,2,1.33,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Álvaro Odriozola,2,3.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Borja Mayoral,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marvin Olawale Akinlabi Park,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sergio Arribas,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
