team,name,age,mplay,xG,xA,npxG,npxG + xA
real-madrid,Héctor Bellerín,25,990,0.1,1.2,0.1,0.13
real-madrid,Bernd Leno,28,900,0.0,0.0,0.0,0.00
real-madrid,Pierre-Emerick Aubameyang,31,791,2.4,1.3,1.6,0.30
real-madrid,Gabriel Dos Santos,22,788,0.6,0.0,0.6,0.06
real-madrid,Kieran Tierney,23,675,0.1,0.6,0.1,0.08
real-madrid,Willian,32,675,0.9,0.8,0.9,0.25
real-madrid,Bukayo Saka,19,586,1.6,0.6,1.6,0.32
real-madrid,Granit Xhaka,28,608,0.3,0.1,0.3,0.07
real-madrid,Dani Ceballos,24,601,0.1,1.6,0.1,0.24
real-madrid,Rob Holding,25,536,0.5,0.0,0.5,0.08
real-madrid,Alexandre Lacazette,29,526,2.2,0.4,2.2,0.48
real-madrid,Mohamed Elneny,28,492,0.3,0.1,0.3,0.08
real-madrid,David Luiz,33,442,0.1,0.0,0.1,0.04
real-madrid,Thomas Partey,27,428,0.5,0.1,0.5,0.20
real-madrid,Nicolas Pépé,25,309,0.7,0.3,0.7,0.30
real-madrid,Ainsley Maitland-Niles,23,304,0.0,0.0,0.0,0.01
real-madrid,Joe Willock,21,228,0.0,0.0,0.0,0.02
real-madrid,Eddie Nketiah,21,150,1.0,0.2,1.0,0.71
real-madrid,Sead Kolašinac,27,287,0.0,0.0,0.0,0.00
real-madrid,Reiss Nelson,20,189,0.0,0.0,0.0,0.06
real-madrid,Shkodran Mustafi,28,149,0.0,0.0,0.0,0.00
real-madrid,Rúnar Alex Rúnarsson,25,135,,,,
real-madrid,Matt Macey,26,56,,,,
real-madrid,Cédric Soares,29,23,,,,
