player,press,switch,intercepted,blocked
Thibaut Courtois,21,4,2,1
Raphaël Varane,42,13,4,4
Karim Benzema,37,1,5,11
Luka Modrić,63,28,4,10
Sergio Ramos,41,37,2,6
Casemiro,63,21,0,10
Toni Kroos,39,43,4,8
Vinicius Júnior,29,4,3,9
Ferland Mendy,57,3,5,6
Federico Valverde,30,15,4,7
Lucas Vázquez,30,8,2,19
Nacho,24,8,0,6
Marco Asensio,37,10,1,19
Marcelo,19,9,4,11
Isco,27,8,5,6
Dani Carvajal,15,4,4,10
Martin Ødegaard,34,2,2,4
Eden Hazard,18,1,4,3
Rodrygo,9,0,2,5
Mariano,11,0,1,2
Luka Jović,9,0,1,2
Éder Militão,7,8,2,1
Álvaro Odriozola,1,0,0,3
Borja Mayoral,1,1,0,1
Marvin Olawale Akinlabi Park,1,0,0,0
Sergio Arribas,0,0,0,0
