Player,Gls,xG,TotalS,TotalS/90,SonTar,SonT/90
Thibaut Courtois,0,0.0,0,0.00,0,0.00
Raphaël Varane,0,0.5,7,0.70,1,0.10
Karim Benzema,4,3.8,30,3.41,12,1.37
Luka Modrić,1,0.8,8,0.91,3,0.34
Sergio Ramos,2,3.0,9,1.20,3,0.40
Casemiro,1,1.2,6,0.80,1,0.13
Toni Kroos,0,0.9,13,2.00,6,0.92
Vinicius Júnior,2,2.9,18,2.66,6,0.89
Ferland Mendy,0,0.1,3,0.45,1,0.15
Federico Valverde,3,0.8,9,1.51,5,0.84
Lucas Vázquez,0,0.3,5,0.86,0,0.00
Nacho,0,0.0,1,0.18,0,0.00
Marco Asensio,0,0.3,3,0.61,1,0.20
Marcelo,0,0.1,3,0.63,0,0.00
Isco,0,0.6,6,1.75,1,0.29
Dani Carvajal,0,0.1,3,0.89,1,0.30
Martin Ødegaard,0,0.1,3,1.18,0,0.00
Eden Hazard,1,0.5,4,2.40,2,1.20
Rodrygo,0,0.4,6,1.88,1,0.31
Mariano,1,0.9,7,3.33,3,1.43
Luka Jović,0,1.1,6,3.62,1,0.60
Éder Militão,0,0.0,0,0.00,0,0.00
Álvaro Odriozola,0,0.0,0,0.00,0,0.00
Borja Mayoral,0,0.0,0,0.00,0,0.00
Marvin Olawale Akinlabi Park,0,0.0,0,0.00,0,0.00
Sergio Arribas,0,0.0,0,0.00,0,0.00
