player,sca,sca90,s_passlive,s_passdead,s_drib,s_sh,s_fld,s_def,gca,gca90,g_passlive,g_passdead,g_drib,g_sh,g_fld,g_def
Pierre Højbjerg,20,2.00,16,1,0,1,0,2,2,0.20,1,1,0,0,0,0
Hugo Lloris,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Harry Kane,39,3.93,27,1,4,3,4,0,12,1.21,8,1,1,0,2,0
Son Heung-min,31,3.41,19,8,4,0,0,0,5,0.55,4,0,1,0,0,0
Eric Dier,3,0.33,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tanguy Ndombele,14,2.31,13,0,1,0,0,0,4,0.66,4,0,0,0,0,0
Moussa Sissoko,8,1.09,7,0,0,0,1,0,1,0.14,1,0,0,0,0,0
Sergio Reguilón,12,2.00,8,0,0,3,1,0,2,0.33,2,0,0,0,0,0
Toby Alderweireld,6,1.02,5,0,0,1,0,0,3,0.51,3,0,0,0,0,0
Matt Doherty,13,2.23,11,1,0,0,1,0,1,0.17,1,0,0,0,0,0
Ben Davies,6,1.40,4,0,1,0,1,0,2,0.47,0,0,1,0,1,0
Lucas Moura,6,1.45,6,0,0,0,0,0,1,0.24,1,0,0,0,0,0
Serge Aurier,6,1.50,5,0,1,0,0,0,1,0.25,1,0,0,0,0,0
Davinson Sánchez,2,0.50,1,0,0,1,0,0,1,0.25,1,0,0,0,0,0
Steven Bergwijn,12,3.44,10,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Harry Winks,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Érik Lamela,8,3.79,3,1,0,1,1,2,3,1.42,0,1,0,1,0,1
Giovani Lo Celso,12,4.52,7,2,0,1,2,0,1,0.38,1,0,0,0,0,0
Gareth Bale,4,3.08,1,1,1,1,0,0,0,0.00,0,0,0,0,0,0
Joe Rodon,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dele Alli,1,1.34,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Vinícius,1,7.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
