team,name,age,mplay,xG,xA,npxG,npxG + xA
Tottenham,Pierre Højbjerg,25,900,0.0,0.6,0.0,0.06
Tottenham,Hugo Lloris,33,900,0.0,0.0,0.0,0.00
Tottenham,Harry Kane,27,893,6.0,3.9,4.4,0.85
Tottenham,Son Heung-min,28,818,3.9,1.9,3.9,0.64
Tottenham,Eric Dier,26,810,0.2,0.0,0.2,0.02
Tottenham,Tanguy Ndombele,23,546,0.5,1.2,0.5,0.27
Tottenham,Moussa Sissoko,31,663,0.0,0.1,0.0,0.01
Tottenham,Sergio Reguilón,23,540,0.2,0.8,0.2,0.16
Tottenham,Toby Alderweireld,31,530,0.1,0.1,0.1,0.02
Tottenham,Matt Doherty,28,525,0.3,0.4,0.3,0.13
Tottenham,Ben Davies,27,386,0.1,0.1,0.1,0.06
Tottenham,Lucas Moura,28,372,0.8,0.0,0.8,0.21
Tottenham,Serge Aurier,27,360,0.7,0.4,0.7,0.26
Tottenham,Davinson Sánchez,24,360,0.6,0.0,0.6,0.16
Tottenham,Steven Bergwijn,23,314,0.3,0.3,0.3,0.16
Tottenham,Harry Winks,24,257,0.0,0.0,0.0,0.01
Tottenham,Érik Lamela,28,190,0.7,0.0,0.7,0.33
Tottenham,Giovani Lo Celso,24,239,0.8,0.5,0.8,0.50
Tottenham,Gareth Bale,31,117,0.6,0.1,0.6,0.59
Tottenham,Joe Rodon,23,101,0.0,0.0,0.0,0.00
Tottenham,Dele Alli,24,67,0.2,0.0,0.2,0.25
Tottenham,Carlos Vinícius,25,12,0.1,0.0,0.1,1.09
Tottenham,Gedson Fernandes,21,,,,,
Tottenham,Joe Hart,33,,,,,
