Player,Position,Minute90,Attempt,Completed,Sucpct,Totaldist,Progdist,LongPass,LongComp,LongPct,MediPass,MediComp,MediPct,ShortPass,ShortComp,ShortPct,Keypass,Finalthird,Penalty,CrossPena,Progcount
Pierre Højbjerg,MF,10.0,738,662,89.7,12795,3354,125,102,81.6,320,293,91.6,277,253,91.3,5,68,2,1,44
Hugo Lloris,GK,10.0,291,213,73.2,5709,3662,146,68,46.6,84,84,100.0,61,61,100.0,0,1,0,0,0
Harry Kane,FW,9.9,257,194,75.5,3839,1458,53,33,62.3,95,76,80.0,93,80,86.0,21,41,15,3,55
Son Heung-min,FW,9.1,314,246,78.3,3723,1031,37,20,54.1,97,74,76.3,155,137,88.4,19,13,7,1,22
Eric Dier,DF,9.0,532,453,85.2,10679,3183,168,120,71.4,224,210,93.8,131,120,91.6,1,21,2,0,16
Tanguy Ndombele,MF,6.1,309,250,80.9,4014,1019,30,22,73.3,100,81,81.0,156,133,85.3,7,29,3,0,23
Moussa Sissoko,MF,7.4,308,268,87.0,4862,953,45,31,68.9,135,124,91.9,120,109,90.8,2,17,2,0,13
Sergio Reguilón,DF,6.0,346,264,76.3,4651,1739,51,20,39.2,138,111,80.4,141,126,89.4,6,11,5,3,18
Toby Alderweireld,DF,5.9,303,250,82.5,6082,1672,100,67,67.0,125,117,93.6,71,65,91.5,1,15,2,0,19
Matt Doherty,DF,5.8,349,276,79.1,4382,1711,38,19,50.0,117,92,78.6,184,161,87.5,5,12,6,2,25
Ben Davies,DF,4.3,287,224,78.0,3923,1350,38,15,39.5,131,109,83.2,103,93,90.3,2,16,6,4,15
Lucas Moura,FW,4.1,137,101,73.7,1365,353,9,4,44.4,37,27,73.0,78,66,84.6,1,2,2,0,11
Serge Aurier,DF,4.0,210,163,77.6,2687,1252,24,13,54.2,82,65,79.3,96,83,86.5,1,9,7,2,22
Davinson Sánchez,DF,4.0,253,216,85.4,4896,1202,57,45,78.9,129,116,89.9,62,54,87.1,0,3,0,0,7
Steven Bergwijn,FW,3.5,120,98,81.7,1296,183,9,2,22.2,32,26,81.3,74,67,90.5,2,5,2,0,4
Harry Winks,MF,2.9,201,173,86.1,3174,817,30,20,66.7,85,79,92.9,77,71,92.2,1,20,0,0,9
Érik Lamela,FW,2.1,78,58,74.4,1028,272,16,11,68.8,14,11,78.6,39,33,84.6,1,7,2,0,6
Giovani Lo Celso,MF,2.7,163,124,76.1,2312,572,32,22,68.8,57,45,78.9,63,54,85.7,6,12,5,0,16
Gareth Bale,FW,1.3,38,21,55.3,384,166,12,4,33.3,5,2,40.0,16,13,81.3,2,2,0,0,1
Joe Rodon,DF,1.1,53,43,81.1,973,181,13,8,61.5,27,24,88.9,12,11,91.7,0,2,0,0,2
Dele Alli,MF,0.7,38,31,81.6,479,94,3,3,100.0,13,11,84.6,18,16,88.9,0,3,1,0,2
Carlos Vinícius,"FW,MF",0.1,1,1,100.0,6,0,0,0,,0,0,,1,1,100.0,1,0,0,0,0
