Player,Gls,xG,TotalS,TotalS/90,SonTar,SonT/90
Pierre Højbjerg,0,0.0,2,0.20,0,0.00
Hugo Lloris,0,0.0,0,0.00,0,0.00
Harry Kane,7,6.0,36,3.63,13,1.31
Son Heung-min,9,3.9,20,2.20,12,1.32
Eric Dier,0,0.2,2,0.22,0,0.00
Tanguy Ndombele,1,0.5,4,0.66,1,0.16
Moussa Sissoko,0,0.0,0,0.00,0,0.00
Sergio Reguilón,0,0.2,6,1.00,2,0.33
Toby Alderweireld,0,0.1,2,0.34,1,0.17
Matt Doherty,0,0.3,1,0.17,1,0.17
Ben Davies,0,0.1,1,0.23,0,0.00
Lucas Moura,1,0.8,5,1.21,3,0.73
Serge Aurier,1,0.7,5,1.25,3,0.75
Davinson Sánchez,0,0.6,3,0.75,0,0.00
Steven Bergwijn,0,0.3,4,1.15,0,0.00
Harry Winks,0,0.0,0,0.00,0,0.00
Érik Lamela,0,0.7,8,3.79,3,1.42
Giovani Lo Celso,1,0.8,9,3.39,5,1.88
Gareth Bale,1,0.6,6,4.62,2,1.54
Joe Rodon,0,0.0,0,0.00,0,0.00
Dele Alli,0,0.2,2,2.69,1,1.34
Carlos Vinícius,0,0.1,2,15.00,1,7.50
