id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/1/value,satisfiedEventsTypes/7,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/6/value,satisfiedEventsTypes/8,qualifiers/7/type/value,qualifiers/7/type/displayName,qualifiers/7/value,qualifiers/8/type/value,qualifiers/8/type/displayName,satisfiedEventsTypes/9,satisfiedEventsTypes/10,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,qualifiers/8/value,qualifiers/9/type/value,qualifiers/9/type/displayName,cardType/value,cardType/displayName,qualifiers/9/value,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/12/type/value,qualifiers/12/type/displayName,qualifiers/12/value,qualifiers/13/type/value,qualifiers/13/type/displayName,blockedX,blockedY,qualifiers/14/type/value,qualifiers/14/type/displayName,qualifiers/15/type/value,qualifiers/15/type/displayName,qualifiers/15/value,qualifiers/10/value,qualifiers/11/value,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,satisfiedEventsTypes/15,satisfiedEventsTypes/16,satisfiedEventsTypes/17,satisfiedEventsTypes/18,satisfiedEventsTypes/19,satisfiedEventsTypes/20,isGoal,qualifiers/13/value
2246725699,2,0,0,55,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246725665,2,0,0,65,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246725791,3,0,0,65,49.9,49.7,0,1,FirstHalf,1,Pass,1,Successful,true,11119,140,PassEndX,38.0,178,StandingSave,212,Length,12.7,213,Angle,3.3,56,Zone,Back,141,PassEndY,46.1,90,116,29,34,37,215,217,38,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246725867,4,0,3,65,44.1,46.3,0,1,FirstHalf,1,Pass,1,Successful,true,44721,212,Length,20.7,56,Zone,213,Angle,2.3,140,PassEndX,30.5,141,PassEndY,68.4,178,StandingSave,,90,116,29,34,36,214,217,30.5,68.4,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246725933,5,0,5,65,31.3,69,0,1,FirstHalf,1,Pass,1,Successful,true,397469,141,PassEndY,86.9,213,Angle,140,PassEndX,36.0,56,Zone,Back,212,Length,13.1,178,StandingSave,,90,116,29,35,36,215,217,36,86.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246726001,6,0,7,65,37.5,89.1,0,1,FirstHalf,1,Pass,1,Successful,true,44288,141,PassEndY,95.3,178,StandingSave,56,Zone,Left,140,PassEndX,52.9,212,Length,16.7,213,Angle,0.3,90,118,116,29,35,36,215,52.9,95.3,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246726037,7,0,9,65,54.1,94.1,0,1,FirstHalf,1,Pass,1,Successful,true,73494,178,StandingSave,,56,Zone,141,PassEndY,80.3,212,Length,10.1,213,Angle,4.3,140,PassEndX,50.6,90,118,116,29,34,37,215,50.6,80.3,Left,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246726111,8,0,10,65,50.6,80.3,0,1,FirstHalf,1,Pass,1,Successful,true,44721,141,PassEndY,92.7,140,PassEndX,56,Zone,Back,178,StandingSave,,212,Length,16.6,213,Angle,2.6,90,116,29,34,36,215,217,37,92.7,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246726161,9,0,13,65,35.6,90,0,1,FirstHalf,1,Pass,1,Successful,true,44288,178,StandingSave,,213,Angle,56,Zone,Back,141,PassEndY,69.5,212,Length,15.2,140,PassEndX,29.8,90,116,29,34,37,214,217,29.8,69.5,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246726279,10,0,16,65,29.3,60,0,1,FirstHalf,1,Pass,1,Successful,true,397469,140,PassEndX,34.7,212,Length,56,Zone,Back,178,StandingSave,,213,Angle,5.0,141,PassEndY,27.2,90,116,29,35,37,215,217,34.7,27.2,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
