id,eventId,minute,second,teamId,x,y,expandedMinute,period/value,period/displayName,type/value,type/displayName,outcomeType/value,outcomeType/displayName,isTouch,playerId,qualifiers/0/type/value,qualifiers/0/type/displayName,qualifiers/0/value,qualifiers/1/type/value,qualifiers/1/type/displayName,qualifiers/1/value,qualifiers/2/type/value,qualifiers/2/type/displayName,qualifiers/2/value,qualifiers/3/type/value,qualifiers/3/type/displayName,qualifiers/3/value,qualifiers/4/type/value,qualifiers/4/type/displayName,qualifiers/4/value,satisfiedEventsTypes/0,satisfiedEventsTypes/1,satisfiedEventsTypes/2,satisfiedEventsTypes/3,satisfiedEventsTypes/4,satisfiedEventsTypes/5,satisfiedEventsTypes/6,endX,endY,qualifiers/5/type/value,qualifiers/5/type/displayName,qualifiers/5/value,qualifiers/6/type/value,qualifiers/6/type/displayName,qualifiers/7/type/value,qualifiers/7/type/displayName,satisfiedEventsTypes/7,satisfiedEventsTypes/8,qualifiers/6/value,goalMouthZ,goalMouthY,isShot,qualifiers/7/value,satisfiedEventsTypes/9,satisfiedEventsTypes/10,satisfiedEventsTypes/11,relatedEventId,relatedPlayerId,qualifiers/8/type/value,qualifiers/8/type/displayName,qualifiers/8/value,qualifiers/9/type/value,qualifiers/9/type/displayName,qualifiers/10/type/value,qualifiers/10/type/displayName,qualifiers/11/type/value,qualifiers/11/type/displayName,qualifiers/12/type/value,qualifiers/12/type/displayName,blockedX,blockedY,qualifiers/9/value,qualifiers/11/value,qualifiers/12/value,satisfiedEventsTypes/12,satisfiedEventsTypes/13,satisfiedEventsTypes/14,satisfiedEventsTypes/15,satisfiedEventsTypes/16,qualifiers/10/value,isGoal,qualifiers/13/type/value,qualifiers/13/type/displayName,qualifiers/13/value,cardType/value,cardType/displayName
2248226915,2,0,0,65,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248226919,2,0,0,58,0,0,0,1,FirstHalf,32,Start,1,Successful,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248226929,3,0,1,65,50,50,0,1,FirstHalf,1,Pass,1,Successful,true,73494,56,Zone,Back,212,Length,6.7,141,PassEndY,46.9,213,Angle,3.5,140,PassEndX,43.9,90,116,29,34,37,215,217,43.9,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248226941,4,0,2,65,43.8,46.9,0,1,FirstHalf,1,Pass,1,Successful,true,30226,141,PassEndY,56.0,212,Length,9.9,56,Zone,Back,213,Angle,2.5,140,PassEndX,36.4,90,116,29,34,36,215,217,36.4,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248226951,5,0,4,65,36.6,56.6,0,1,FirstHalf,1,Pass,1,Successful,true,279423,212,Length,14.5,56,Zone,Back,141,PassEndY,73.8,140,PassEndX,28.5,213,Angle,2.2,90,116,29,34,36,214,217,28.5,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248226973,6,0,5,65,28.3,74.1,0,1,FirstHalf,1,Pass,1,Successful,true,236511,140,PassEndX,11.6,212,Length,23.2,56,Zone,Back,141,PassEndY,51.8,213,Angle,3.9,90,116,29,34,37,214,217,11.6,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248226975,7,0,8,65,11.2,53.7,0,1,FirstHalf,1,Pass,1,Successful,true,80774,140,PassEndX,11.6,141,PassEndY,81.4,212,Length,18.8,213,Angle,1.5,56,Zone,Back,90,116,29,35,36,214,217,11.6,81.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248226979,8,0,11,65,11.1,85.3,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,236511,212,Length,2.8,233,OppositeRelatedEvent,3,140,PassEndX,13.8,141,PassEndY,85.3,213,Angle,0.0,90,117,119,28,123,35,214,13.8,85.3,56,Zone,Back,286,Offensive,155,Chipped,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248226981,3,0,11,58,81.6,13.6,0,1,FirstHalf,74,BlockedPass,1,Successful,true,382939,56,Zone,Right,233,OppositeRelatedEvent,8,285,Defensive,,,,,,,,90,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227027,10,0,29,65,3.4,48.2,0,1,FirstHalf,1,Pass,1,Successful,true,80774,212,Length,34.5,140,PassEndX,35.7,213,Angle,6.1,141,PassEndY,39.2,1,Longball,,90,116,126,35,37,215,217,35.7,39.2,56,Zone,Back,124,GoalKick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227029,11,0,33,65,35.6,39.2,0,1,FirstHalf,61,BallTouch,1,Successful,true,30226,56,Zone,Back,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227051,12,0,35,65,38.5,43.9,0,1,FirstHalf,1,Pass,1,Successful,true,11119,141,PassEndY,41.8,213,Angle,3.3,140,PassEndX,28.3,212,Length,10.8,56,Zone,Back,90,116,29,34,37,214,217,28.3,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227059,13,0,36,65,28.1,41.8,0,1,FirstHalf,1,Pass,1,Successful,true,30226,140,PassEndX,29.8,213,Angle,1.4,56,Zone,Back,212,Length,8.5,141,PassEndY,54.0,90,116,29,35,36,214,217,29.8,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227075,14,0,37,65,29.9,53.9,0,1,FirstHalf,1,Pass,1,Successful,true,11119,213,Angle,1.7,141,PassEndY,81.4,56,Zone,Back,212,Length,18.8,140,PassEndX,28.4,90,116,29,34,36,214,217,28.4,81.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227079,15,0,40,65,29.8,72.3,0,1,FirstHalf,1,Pass,1,Successful,true,279423,56,Zone,Back,213,Angle,5.0,140,PassEndX,32.8,212,Length,11.9,141,PassEndY,55.4,90,116,29,35,37,214,217,32.8,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227097,16,0,41,65,32.7,55.4,0,1,FirstHalf,1,Pass,1,Successful,true,30226,212,Length,12.5,140,PassEndX,27.2,141,PassEndY,39.1,56,Zone,Back,213,Angle,4.2,90,116,29,34,37,214,217,27.2,39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227111,17,0,44,65,27.4,40.7,0,1,FirstHalf,1,Pass,1,Successful,true,384711,212,Length,17.0,140,PassEndX,29.5,141,PassEndY,65.5,56,Zone,Back,213,Angle,1.4,90,116,29,35,36,214,217,29.5,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227129,18,0,48,65,41.6,80.9,0,1,FirstHalf,1,Pass,1,Successful,true,236511,213,Angle,5.8,212,Length,12.1,141,PassEndY,72.3,140,PassEndX,51.7,56,Zone,Center,90,118,116,29,35,37,215,51.7,72.3,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227145,19,0,52,65,46,57.9,0,1,FirstHalf,1,Pass,0,Unsuccessful,true,279423,213,Angle,5.5,141,PassEndY,55.5,212,Length,2.4,140,PassEndX,47.7,56,Zone,Back,90,117,119,28,35,37,215,47.7,55.5,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227139,5,0,53,58,51.4,42.7,0,1,FirstHalf,61,BallTouch,1,Successful,true,106868,56,Zone,Center,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227171,20,0,55,65,56.5,35.1,0,1,FirstHalf,1,Pass,1,Successful,true,30226,141,PassEndY,4.6,213,Angle,5.2,212,Length,23.1,140,PassEndX,66.1,56,Zone,Right,90,118,116,29,35,37,215,66.1,4.6,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227179,21,0,57,65,67,5.2,0,1,FirstHalf,1,Pass,1,Successful,true,379205,212,Length,11.1,213,Angle,2.8,140,PassEndX,57.1,141,PassEndY,11.1,56,Zone,Right,90,118,116,29,34,36,215,57.1,11.1,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227185,22,0,58,65,57.7,11,0,1,FirstHalf,1,Pass,1,Successful,true,397469,213,Angle,2.0,56,Zone,Center,141,PassEndY,23.4,140,PassEndX,53.9,212,Length,9.3,90,118,116,29,34,36,215,53.9,23.4,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227205,23,1,0,65,54.6,23.4,1,1,FirstHalf,1,Pass,1,Successful,true,30226,140,PassEndX,54.4,56,Zone,Center,213,Angle,1.6,141,PassEndY,39.1,212,Length,10.7,90,118,116,29,34,36,215,54.4,39.1,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227217,24,1,4,65,63.1,50.4,1,1,FirstHalf,1,Pass,1,Successful,true,279423,212,Length,7.7,141,PassEndY,61.4,140,PassEndX,64.7,213,Angle,1.3,56,Zone,Center,90,118,116,29,35,36,215,64.7,61.4,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227233,25,1,6,65,62.8,65.7,1,1,FirstHalf,1,Pass,1,Successful,true,402197,213,Angle,1.9,140,PassEndX,59.6,141,PassEndY,82.4,212,Length,11.8,56,Zone,Left,90,118,116,29,34,36,215,59.6,82.4,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227257,26,1,8,65,59.6,82.4,1,1,FirstHalf,1,Pass,1,Successful,true,236511,140,PassEndX,68.7,56,Zone,Left,213,Angle,0.7,212,Length,12.3,141,PassEndY,93.9,90,118,116,29,204,35,36,68.7,93.9,,,,,,,,216,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227261,27,1,13,65,71.7,97.2,1,1,FirstHalf,61,BallTouch,0,Unsuccessful,true,44288,56,Zone,Left,,,,,,,,,,,,,90,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227389,7,1,29,58,30.1,0,1,1,FirstHalf,1,Pass,1,Successful,true,121734,140,PassEndX,20.3,213,Angle,2.6,141,PassEndY,8.2,107,ThrowIn,,212,Length,12.1,90,211,34,36,214,,,20.3,8.2,56,Zone,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227395,8,1,32,58,20.3,8.2,1,1,FirstHalf,1,Pass,0,Unsuccessful,true,106868,1,Longball,,141,PassEndY,0.0,213,Angle,5.5,140,PassEndX,26.4,212,Length,8.9,90,117,119,127,35,37,214,26.4,0,56,Zone,Back,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2248227475,30,1,40,65,70.3,100,1,1,FirstHalf,1,Pass,1,Successful,true,44288,56,Zone,Left,212,Length,15.8,107,ThrowIn,,141,PassEndY,93.3,140,PassEndX,56.3,90,211,34,37,215,,,56.3,93.3,213,Angle,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
